n_cci_sig_scsignalr	ccis_scsignalr	ps_scsignalr
HLA-B_CANX	81	Bcell--Tcell,Bcell--basal_like_2,Bcell--endothelial,Bcell--macrophage,Bcell--stroma,Tcell--endothelial,macrophage--endothelial,mesenchymal--Tcell,stroma--Tcell,Bcell--Bcell,Bcell--basal_like_1,Bcell--luminal_ar,Bcell--mesenchymal,Tcell--Bcell,Tcell--Tcell,Tcell--basal_like_1,Tcell--basal_like_2,Tcell--luminal_ar,Tcell--macrophage,Tcell--mesenchymal,Tcell--stroma,basal_like_1--Bcell,basal_like_1--Tcell,basal_like_1--basal_like_1,basal_like_1--basal_like_2,basal_like_1--endothelial,basal_like_1--luminal_ar,basal_like_1--macrophage,basal_like_1--mesenchymal,basal_like_1--stroma,basal_like_2--Bcell,basal_like_2--Tcell,basal_like_2--basal_like_1,basal_like_2--basal_like_2,basal_like_2--endothelial,basal_like_2--luminal_ar,basal_like_2--macrophage,basal_like_2--mesenchymal,basal_like_2--stroma,endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_1,endothelial--basal_like_2,endothelial--endothelial,endothelial--luminal_ar,endothelial--macrophage,endothelial--mesenchymal,endothelial--stroma,luminal_ar--Bcell,luminal_ar--Tcell,luminal_ar--basal_like_1,luminal_ar--basal_like_2,luminal_ar--endothelial,luminal_ar--luminal_ar,luminal_ar--macrophage,luminal_ar--mesenchymal,luminal_ar--stroma,macrophage--Bcell,macrophage--Tcell,macrophage--basal_like_1,macrophage--basal_like_2,macrophage--luminal_ar,macrophage--macrophage,macrophage--mesenchymal,macrophage--stroma,mesenchymal--Bcell,mesenchymal--basal_like_1,mesenchymal--basal_like_2,mesenchymal--endothelial,mesenchymal--luminal_ar,mesenchymal--macrophage,mesenchymal--mesenchymal,mesenchymal--stroma,stroma--Bcell,stroma--basal_like_1,stroma--basal_like_2,stroma--endothelial,stroma--luminal_ar,stroma--macrophage,stroma--mesenchymal,stroma--stroma	0.951594331649881,0.956662799975929,0.951498199301685,0.953781788183991,0.952841519548137,0.95973478159474,0.960038595185572,0.949000021156867,0.952280524790402,0.953115881616689,0.958313262560905,0.960017108581498,0.960083818907792,0.961088983208358,0.959815278198892,0.965434552857651,0.964055461335959,0.966857399420927,0.961646202853296,0.966913090257255,0.960859363031192,0.957308893039424,0.955917126864219,0.962059956724903,0.960551727092772,0.955829180976581,0.963616479591325,0.957917874696739,0.963677411686933,0.957057962628068,0.953636129607135,0.952130615491729,0.958778332296448,0.957145459358455,0.952035494505815,0.960463953917226,0.954295001301901,0.960529949347106,0.953364663024836,0.95744075451231,0.956053089788993,0.962177723210868,0.960673983779096,0.955965402653999,0.963729596756237,0.958047937617406,0.963790346531146,0.95719056449883,0.958180278481999,0.956815638723712,0.962838130802316,0.961359593435531,0.956729404237237,0.964363910966447,0.958777365223539,0.964423637539744,0.957934244850398,0.961382990065253,0.960118509656977,0.965696897054046,0.964327885787604,0.967109312429091,0.961936166174935,0.967164594341581,0.961155034746002,0.950598885393989,0.956062427521993,0.954327097005771,0.948899013254983,0.957854225089377,0.951298714782591,0.957924385963269,0.950310561957564,0.953781553051918,0.958908321855932,0.957280368638082,0.952185686729213,0.960588846486588,0.954438456885675,0.960654641980143,0.953510896434344
HLA-B_KIR2DL3	0		
HLA-B_KIR3DL2	0		
HLA-B_KLRD1	81	Bcell--Tcell,Bcell--basal_like_2,Bcell--endothelial,Bcell--macrophage,Bcell--stroma,Tcell--endothelial,macrophage--endothelial,mesenchymal--Tcell,stroma--Tcell,Bcell--Bcell,Bcell--basal_like_1,Bcell--luminal_ar,Bcell--mesenchymal,Tcell--Bcell,Tcell--Tcell,Tcell--basal_like_1,Tcell--basal_like_2,Tcell--luminal_ar,Tcell--macrophage,Tcell--mesenchymal,Tcell--stroma,basal_like_1--Bcell,basal_like_1--Tcell,basal_like_1--basal_like_1,basal_like_1--basal_like_2,basal_like_1--endothelial,basal_like_1--luminal_ar,basal_like_1--macrophage,basal_like_1--mesenchymal,basal_like_1--stroma,basal_like_2--Bcell,basal_like_2--Tcell,basal_like_2--basal_like_1,basal_like_2--basal_like_2,basal_like_2--endothelial,basal_like_2--luminal_ar,basal_like_2--macrophage,basal_like_2--mesenchymal,basal_like_2--stroma,endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_1,endothelial--basal_like_2,endothelial--endothelial,endothelial--luminal_ar,endothelial--macrophage,endothelial--mesenchymal,endothelial--stroma,luminal_ar--Bcell,luminal_ar--Tcell,luminal_ar--basal_like_1,luminal_ar--basal_like_2,luminal_ar--endothelial,luminal_ar--luminal_ar,luminal_ar--macrophage,luminal_ar--mesenchymal,luminal_ar--stroma,macrophage--Bcell,macrophage--Tcell,macrophage--basal_like_1,macrophage--basal_like_2,macrophage--luminal_ar,macrophage--macrophage,macrophage--mesenchymal,macrophage--stroma,mesenchymal--Bcell,mesenchymal--basal_like_1,mesenchymal--basal_like_2,mesenchymal--endothelial,mesenchymal--luminal_ar,mesenchymal--macrophage,mesenchymal--mesenchymal,mesenchymal--stroma,stroma--Bcell,stroma--basal_like_1,stroma--basal_like_2,stroma--endothelial,stroma--luminal_ar,stroma--macrophage,stroma--mesenchymal,stroma--stroma	0.805260516499833,0.692934823268659,0.709463425978201,0.740864673276781,0.670278022469923,0.747912841838181,0.749397585423712,0.796500606707092,0.807601705581568,0.70832711591031,0.619633809495704,0.548085978709768,0.604751932319684,0.746873257309525,0.833998564226151,0.664346908388739,0.732747643474196,0.595722228812786,0.776467789477024,0.650226926299252,0.711806680809356,0.728168696215944,0.820182015500827,0.642463420460135,0.713399823948809,0.729257252807799,0.572245388247219,0.759245153287647,0.627938422408923,0.691580941198363,0.710739288288704,0.807089364447086,0.622388452953179,0.695419554545695,0.711870023568516,0.550983297017349,0.743105348803631,0.607546090232551,0.672859535182969,0.728807814269271,0.820658077998719,0.643205309061052,0.714060030415083,0.729894760859662,0.573036149383987,0.7598353042285,0.628693031558309,0.692269728521466,0.732409803645255,0.8233358274634,0.647394192638157,0.71778204925348,0.733487592670459,0.577507719111039,0.76315910791636,0.632955067307555,0.696154693271252,0.748362063755156,0.83508807762002,0.666104108450685,0.73428997447456,0.597621094413837,0.777834308411585,0.652019327759349,0.7134225984301,0.69684838531239,0.60660315937039,0.681123035239594,0.698010348941423,0.534445832664111,0.73017867070994,0.591547525191487,0.658024818051606,0.711416023727053,0.623162294887773,0.696116806857982,0.712545183528566,0.551798092321954,0.743733665106541,0.608331207597127,0.673584191326859
HLA-B_LILRB1	72	Bcell--Tcell,Bcell--basal_like_2,Bcell--endothelial,Bcell--macrophage,Bcell--stroma,Tcell--endothelial,macrophage--endothelial,mesenchymal--Tcell,stroma--Tcell,Bcell--Bcell,Bcell--basal_like_1,Bcell--mesenchymal,Tcell--Bcell,Tcell--Tcell,Tcell--basal_like_1,Tcell--basal_like_2,Tcell--macrophage,Tcell--mesenchymal,Tcell--stroma,basal_like_1--Bcell,basal_like_1--Tcell,basal_like_1--basal_like_1,basal_like_1--basal_like_2,basal_like_1--endothelial,basal_like_1--macrophage,basal_like_1--mesenchymal,basal_like_1--stroma,basal_like_2--Bcell,basal_like_2--Tcell,basal_like_2--basal_like_1,basal_like_2--basal_like_2,basal_like_2--endothelial,basal_like_2--macrophage,basal_like_2--mesenchymal,basal_like_2--stroma,endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_1,endothelial--basal_like_2,endothelial--endothelial,endothelial--macrophage,endothelial--mesenchymal,endothelial--stroma,luminal_ar--Bcell,luminal_ar--Tcell,luminal_ar--basal_like_1,luminal_ar--basal_like_2,luminal_ar--endothelial,luminal_ar--macrophage,luminal_ar--mesenchymal,luminal_ar--stroma,macrophage--Bcell,macrophage--Tcell,macrophage--basal_like_1,macrophage--basal_like_2,macrophage--macrophage,macrophage--mesenchymal,macrophage--stroma,mesenchymal--Bcell,mesenchymal--basal_like_1,mesenchymal--basal_like_2,mesenchymal--endothelial,mesenchymal--macrophage,mesenchymal--mesenchymal,mesenchymal--stroma,stroma--Bcell,stroma--basal_like_1,stroma--basal_like_2,stroma--endothelial,stroma--macrophage,stroma--mesenchymal,stroma--stroma	0.703062674832906,0.694551240490063,0.724557872767767,0.778181136550261,0.778379941280593,0.761680719387447,0.763110056934282,0.69146700705551,0.706184208639243,0.697852118472881,0.567048995890299,0.538270222532257,0.737269116019029,0.742051181183282,0.614093770002679,0.734234863263168,0.809972312613148,0.58615990249935,0.810149575857757,0.718122709555323,0.723122391759986,0.590951235428551,0.714952827508068,0.743694849815412,0.794648409824667,0.562535544077779,0.794836346868431,0.700314268369778,0.705500283276364,0.569920138175054,0.697028610817786,0.726887570448794,0.780194877173171,0.541177790056728,0.780392386421406,0.718776325215344,0.723768873605223,0.591732087563822,0.715610882625164,0.744310281636628,0.795175190079833,0.563330557899585,0.795362769168104,0.722460814369816,0.7274127583816,0.596145849244128,0.719320649408611,0.7477776248964,0.798139834793847,0.567827114196153,0.798325387446365,0.738794655029342,0.743558611332295,0.615961973312972,0.735771706387384,0.811183815926735,0.588072625044527,0.81136021224873,0.686143808503334,0.553514950882541,0.682773165397955,0.713459502756897,0.768553228451374,0.524590790841488,0.768758098010611,0.701005133209537,0.57072734274747,0.697723780734665,0.727541009025366,0.780759243080464,0.541995587992399,0.780956387585461
HLA-B_LILRB2	81	Bcell--Tcell,Bcell--basal_like_2,Bcell--endothelial,Bcell--macrophage,Bcell--stroma,Tcell--endothelial,macrophage--endothelial,mesenchymal--Tcell,stroma--Tcell,Bcell--Bcell,Bcell--basal_like_1,Bcell--luminal_ar,Bcell--mesenchymal,Tcell--Bcell,Tcell--Tcell,Tcell--basal_like_1,Tcell--basal_like_2,Tcell--luminal_ar,Tcell--macrophage,Tcell--mesenchymal,Tcell--stroma,basal_like_1--Bcell,basal_like_1--Tcell,basal_like_1--basal_like_1,basal_like_1--basal_like_2,basal_like_1--endothelial,basal_like_1--luminal_ar,basal_like_1--macrophage,basal_like_1--mesenchymal,basal_like_1--stroma,basal_like_2--Bcell,basal_like_2--Tcell,basal_like_2--basal_like_1,basal_like_2--basal_like_2,basal_like_2--endothelial,basal_like_2--luminal_ar,basal_like_2--macrophage,basal_like_2--mesenchymal,basal_like_2--stroma,endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_1,endothelial--basal_like_2,endothelial--endothelial,endothelial--luminal_ar,endothelial--macrophage,endothelial--mesenchymal,endothelial--stroma,luminal_ar--Bcell,luminal_ar--Tcell,luminal_ar--basal_like_1,luminal_ar--basal_like_2,luminal_ar--endothelial,luminal_ar--luminal_ar,luminal_ar--macrophage,luminal_ar--mesenchymal,luminal_ar--stroma,macrophage--Bcell,macrophage--Tcell,macrophage--basal_like_1,macrophage--basal_like_2,macrophage--luminal_ar,macrophage--macrophage,macrophage--mesenchymal,macrophage--stroma,mesenchymal--Bcell,mesenchymal--basal_like_1,mesenchymal--basal_like_2,mesenchymal--endothelial,mesenchymal--luminal_ar,mesenchymal--macrophage,mesenchymal--mesenchymal,mesenchymal--stroma,stroma--Bcell,stroma--basal_like_1,stroma--basal_like_2,stroma--endothelial,stroma--luminal_ar,stroma--macrophage,stroma--mesenchymal,stroma--stroma	0.800841876427468,0.784544854997717,0.824789694738704,0.861065182755867,0.831729455908712,0.85117840645239,0.852175149607501,0.791934561008219,0.803223206090996,0.821614488330291,0.736079910010878,0.730272599277218,0.728561019088669,0.848393519821264,0.830094408149962,0.772138226760969,0.815640055373401,0.766873054803865,0.882766950151968,0.765319089665013,0.857253852830526,0.835538821623335,0.816024592530143,0.754687397984216,0.800660718850233,0.838514892954008,0.749149993508369,0.87238838243299,0.747516786184409,0.845013177936733,0.823323448827308,0.802702053815962,0.738347346493448,0.786516672711095,0.826474660770819,0.732571801793108,0.862459468379871,0.730869434563054,0.833361167202284,0.835982357859572,0.816509199272624,0.755285120181827,0.801175934896236,0.838951950034433,0.749756734152815,0.872747674402658,0.748126148988531,0.845435889424063,0.838476335073712,0.819235250635178,0.758651894698711,0.804075124930502,0.841409339011566,0.753174711944241,0.874766361044753,0.751559018377827,0.847812289041279,0.849405614958716,0.831204359466272,0.773523493565714,0.816823596326281,0.768280724807309,0.88358106356298,0.76673328867585,0.858216683229723,0.813419774096918,0.725269764680217,0.775113337206541,0.816708303608914,0.719315291285634,0.854361518083754,0.717561072020492,0.823899811980512,0.823802087325672,0.738983212403531,0.787069236889812,0.826946556635502,0.7332166319386,0.86284974424909,0.731516865120478,0.833818101081777
HLA-C_LILRB1	60	Bcell--Tcell,Bcell--basal_like_2,Bcell--endothelial,Bcell--macrophage,Bcell--stroma,Tcell--endothelial,macrophage--endothelial,mesenchymal--Tcell,stroma--Tcell,Bcell--Bcell,Tcell--Bcell,Tcell--Tcell,Tcell--basal_like_1,Tcell--basal_like_2,Tcell--macrophage,Tcell--stroma,basal_like_1--Bcell,basal_like_1--Tcell,basal_like_1--basal_like_1,basal_like_1--basal_like_2,basal_like_1--endothelial,basal_like_1--macrophage,basal_like_1--stroma,basal_like_2--Bcell,basal_like_2--Tcell,basal_like_2--basal_like_2,basal_like_2--endothelial,basal_like_2--macrophage,basal_like_2--stroma,endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_1,endothelial--basal_like_2,endothelial--endothelial,endothelial--macrophage,endothelial--stroma,luminal_ar--Bcell,luminal_ar--Tcell,luminal_ar--basal_like_1,luminal_ar--basal_like_2,luminal_ar--endothelial,luminal_ar--macrophage,luminal_ar--stroma,macrophage--Bcell,macrophage--Tcell,macrophage--basal_like_1,macrophage--basal_like_2,macrophage--macrophage,macrophage--mesenchymal,macrophage--stroma,mesenchymal--Bcell,mesenchymal--basal_like_2,mesenchymal--endothelial,mesenchymal--macrophage,mesenchymal--stroma,stroma--Bcell,stroma--basal_like_2,stroma--endothelial,stroma--macrophage,stroma--stroma	0.6365470497316,0.627140150871884,0.660532390574583,0.721834922542709,0.722066190901285,0.692478122380586,0.692968687638141,0.634925098817778,0.640007154307731,0.630782258649672,0.664103952371415,0.669620970893706,0.528560741557899,0.660613689888643,0.750193493377898,0.750409336680423,0.649579548456337,0.655211271734873,0.512477929284466,0.646018808700766,0.678586833976892,0.737922615112228,0.738145360152693,0.625467941613876,0.631267203568149,0.621804842050119,0.655412356978176,0.717243691105662,0.717477282619192,0.638595323773211,0.644306914260858,0.500500785214596,0.63498568842684,0.668047211685266,0.72855037595778,0.728778158898439,0.645810781796179,0.651470576055031,0.508350665835471,0.642232838358156,0.674973940294827,0.734715950581064,0.734940442073272,0.66461785881081,0.67013062919208,0.529134989416543,0.661130211482524,0.750625145632885,0.500057966231079,0.75084073984159,0.629149569607266,0.625500918265708,0.658960130110814,0.720426414775868,0.720658400997646,0.634265711953254,0.630637845150928,0.663884724061292,0.724834067103779,0.725063791693667
HLA-F_LILRB1	4	Tcell--macrophage,Tcell--stroma,macrophage--macrophage,macrophage--stroma	0.543296624638191,0.543582473369527,0.508169857323856,0.508457800412193
HLA-F_LILRB2	38	Bcell--endothelial,Bcell--macrophage,Bcell--stroma,Tcell--endothelial,macrophage--endothelial,Bcell--Bcell,Tcell--Bcell,Tcell--Tcell,Tcell--basal_like_2,Tcell--macrophage,Tcell--stroma,basal_like_1--Bcell,basal_like_1--endothelial,basal_like_1--macrophage,basal_like_1--stroma,basal_like_2--Bcell,basal_like_2--endothelial,basal_like_2--macrophage,basal_like_2--stroma,endothelial--Bcell,endothelial--Tcell,endothelial--endothelial,endothelial--macrophage,endothelial--stroma,luminal_ar--endothelial,luminal_ar--macrophage,luminal_ar--stroma,macrophage--Bcell,macrophage--Tcell,macrophage--basal_like_2,macrophage--macrophage,macrophage--stroma,mesenchymal--macrophage,mesenchymal--stroma,stroma--Bcell,stroma--endothelial,stroma--macrophage,stroma--stroma	0.533038380060498,0.600457145035774,0.545161350367461,0.614830842575956,0.580962446817897,0.527604204538133,0.609651467598536,0.576906630404723,0.552524040692081,0.677583466899024,0.62631898674083,0.520466090067058,0.525908593969993,0.593571863226956,0.538056252093749,0.515918695608889,0.521365347642277,0.589170504145767,0.533526161860323,0.553361721898403,0.519615672606823,0.558747402772083,0.625065215606969,0.570740426869576,0.503646199686674,0.571900392435505,0.515839139746285,0.57564198131473,0.542186602686209,0.517476662277714,0.64605645327947,0.592791714679706,0.567257808862987,0.511108313035487,0.533312117367248,0.538738036563079,0.605942243857955,0.550837722939152
HMGB1_SDC1	81	Bcell--Tcell,Bcell--basal_like_2,Bcell--endothelial,Bcell--macrophage,Bcell--stroma,Tcell--endothelial,macrophage--endothelial,mesenchymal--Tcell,stroma--Tcell,Bcell--Bcell,Bcell--basal_like_1,Bcell--luminal_ar,Bcell--mesenchymal,Tcell--Bcell,Tcell--Tcell,Tcell--basal_like_1,Tcell--basal_like_2,Tcell--luminal_ar,Tcell--macrophage,Tcell--mesenchymal,Tcell--stroma,basal_like_1--Bcell,basal_like_1--Tcell,basal_like_1--basal_like_1,basal_like_1--basal_like_2,basal_like_1--endothelial,basal_like_1--luminal_ar,basal_like_1--macrophage,basal_like_1--mesenchymal,basal_like_1--stroma,basal_like_2--Bcell,basal_like_2--Tcell,basal_like_2--basal_like_1,basal_like_2--basal_like_2,basal_like_2--endothelial,basal_like_2--luminal_ar,basal_like_2--macrophage,basal_like_2--mesenchymal,basal_like_2--stroma,endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_1,endothelial--basal_like_2,endothelial--endothelial,endothelial--luminal_ar,endothelial--macrophage,endothelial--mesenchymal,endothelial--stroma,luminal_ar--Bcell,luminal_ar--Tcell,luminal_ar--basal_like_1,luminal_ar--basal_like_2,luminal_ar--endothelial,luminal_ar--luminal_ar,luminal_ar--macrophage,luminal_ar--mesenchymal,luminal_ar--stroma,macrophage--Bcell,macrophage--Tcell,macrophage--basal_like_1,macrophage--basal_like_2,macrophage--luminal_ar,macrophage--macrophage,macrophage--mesenchymal,macrophage--stroma,mesenchymal--Bcell,mesenchymal--basal_like_1,mesenchymal--basal_like_2,mesenchymal--endothelial,mesenchymal--luminal_ar,mesenchymal--macrophage,mesenchymal--mesenchymal,mesenchymal--stroma,stroma--Bcell,stroma--basal_like_1,stroma--basal_like_2,stroma--endothelial,stroma--luminal_ar,stroma--macrophage,stroma--mesenchymal,stroma--stroma	0.802153451870638,0.825702571774831,0.806157708502781,0.812787669778361,0.827170837741751,0.837849171948327,0.82581374039682,0.821806305076105,0.830576642708878,0.835097200441623,0.840846197752345,0.806712972198435,0.817464392475093,0.862862181261947,0.834365067263645,0.867796447939579,0.854774265325928,0.838331860330542,0.843605478474265,0.847656642536119,0.856040331328972,0.858571508289452,0.829359120055697,0.863635757126157,0.850274452828018,0.832927439004845,0.833421865486513,0.838824855094374,0.842976804185783,0.851572935917035,0.856064371994133,0.826438813797117,0.861203882976113,0.847646332727464,0.830055686750682,0.830556882895515,0.836034516609422,0.840244656427585,0.848963559351235,0.865915773301249,0.837934012478934,0.870756627388008,0.857978305962515,0.841357318877723,0.841831535677378,0.847011827436325,0.850990340730757,0.85922103981887,0.851949070169537,0.821652945110332,0.857211016268402,0.843334395019968,0.825348474923586,0.82586064105358,0.831459284060353,0.835763823874749,0.844682070958796,0.852356149054457,0.822125933661329,0.857606045173103,0.843760816773607,0.826324829238683,0.831911585890911,0.836206849537405,0.845105498260257,0.852081068563627,0.857339108835594,0.843472662887099,0.825499332004687,0.826011149004291,0.831605939781228,0.835907473211381,0.84481936827405,0.859615881191463,0.864648628780175,0.851369488445263,0.834124593803853,0.834616180932548,0.839987870154827,0.84411542705994,0.85266012054457
HP_ITGB2	2	endothelial--Tcell,endothelial--macrophage	0.517160225760955,0.515019683072054
HRAS_CAV1	53	Bcell--Tcell,Bcell--basal_like_2,Bcell--endothelial,Bcell--stroma,Tcell--endothelial,macrophage--endothelial,mesenchymal--Tcell,stroma--Tcell,Bcell--Bcell,Tcell--Bcell,Tcell--Tcell,Tcell--basal_like_2,Tcell--stroma,basal_like_1--Bcell,basal_like_1--Tcell,basal_like_1--basal_like_2,basal_like_1--endothelial,basal_like_1--macrophage,basal_like_1--stroma,basal_like_2--Bcell,basal_like_2--Tcell,basal_like_2--basal_like_2,basal_like_2--endothelial,basal_like_2--macrophage,basal_like_2--mesenchymal,basal_like_2--stroma,endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_2,endothelial--endothelial,endothelial--macrophage,endothelial--mesenchymal,endothelial--stroma,luminal_ar--Bcell,luminal_ar--Tcell,luminal_ar--basal_like_2,luminal_ar--endothelial,luminal_ar--stroma,macrophage--Bcell,macrophage--Tcell,macrophage--basal_like_2,macrophage--macrophage,macrophage--stroma,mesenchymal--Bcell,mesenchymal--basal_like_2,mesenchymal--endothelial,mesenchymal--stroma,stroma--Bcell,stroma--basal_like_2,stroma--endothelial,stroma--macrophage,stroma--mesenchymal,stroma--stroma	0.51903119849135,0.517854503322429,0.646497483277852,0.635834628563513,0.6318434292736,0.65852040437258,0.529291912484785,0.554522976120021,0.51974373498155,0.503867582512205,0.503154008295878,0.501975740991249,0.620997685437918,0.537478027971413,0.536768352363813,0.535596224376135,0.662589754794069,0.505023680853853,0.652151129191257,0.559577466992205,0.558873870051124,0.557711587391897,0.682245411192065,0.527310040003572,0.511949321441424,0.672113962399699,0.551230508431561,0.550524287775274,0.549357744679945,0.674872499311913,0.518877341653506,0.503500611423976,0.664621530390405,0.519458687099099,0.518746119289827,0.517569374938811,0.646236460904592,0.635570171044538,0.532963344599751,0.5322527702839,0.531079198061358,0.500486621274608,0.648022760784472,0.530003012911903,0.528117497662503,0.655842006716572,0.645306374034664,0.555227989893809,0.553358391322658,0.678411156312714,0.522913586639847,0.507543424913444,0.668216907265237
HRAS_INSR	81	Bcell--Tcell,Bcell--basal_like_2,Bcell--endothelial,Bcell--macrophage,Bcell--stroma,Tcell--endothelial,macrophage--endothelial,mesenchymal--Tcell,stroma--Tcell,Bcell--Bcell,Bcell--basal_like_1,Bcell--luminal_ar,Bcell--mesenchymal,Tcell--Bcell,Tcell--Tcell,Tcell--basal_like_1,Tcell--basal_like_2,Tcell--luminal_ar,Tcell--macrophage,Tcell--mesenchymal,Tcell--stroma,basal_like_1--Bcell,basal_like_1--Tcell,basal_like_1--basal_like_1,basal_like_1--basal_like_2,basal_like_1--endothelial,basal_like_1--luminal_ar,basal_like_1--macrophage,basal_like_1--mesenchymal,basal_like_1--stroma,basal_like_2--Bcell,basal_like_2--Tcell,basal_like_2--basal_like_1,basal_like_2--basal_like_2,basal_like_2--endothelial,basal_like_2--luminal_ar,basal_like_2--macrophage,basal_like_2--mesenchymal,basal_like_2--stroma,endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_1,endothelial--basal_like_2,endothelial--endothelial,endothelial--luminal_ar,endothelial--macrophage,endothelial--mesenchymal,endothelial--stroma,luminal_ar--Bcell,luminal_ar--Tcell,luminal_ar--basal_like_1,luminal_ar--basal_like_2,luminal_ar--endothelial,luminal_ar--luminal_ar,luminal_ar--macrophage,luminal_ar--mesenchymal,luminal_ar--stroma,macrophage--Bcell,macrophage--Tcell,macrophage--basal_like_1,macrophage--basal_like_2,macrophage--luminal_ar,macrophage--macrophage,macrophage--mesenchymal,macrophage--stroma,mesenchymal--Bcell,mesenchymal--basal_like_1,mesenchymal--basal_like_2,mesenchymal--endothelial,mesenchymal--luminal_ar,mesenchymal--macrophage,mesenchymal--mesenchymal,mesenchymal--stroma,stroma--Bcell,stroma--basal_like_1,stroma--basal_like_2,stroma--endothelial,stroma--luminal_ar,stroma--macrophage,stroma--mesenchymal,stroma--stroma	0.516252512774003,0.568868844056413,0.565926695112089,0.543650104503881,0.555745737838768,0.550256161111339,0.578905020075192,0.526518429020456,0.551772261615156,0.558372392024701,0.550889783934535,0.562089979651368,0.564059781333919,0.542649535377422,0.500371893529861,0.535122321484776,0.553220672004138,0.546391955823512,0.527846314397912,0.548375634770832,0.54000640504253,0.575844344766901,0.534000136619264,0.568428962818544,0.586233252085874,0.583322805670258,0.579525609496464,0.56124683511999,0.581475379420325,0.573242185058816,0.597483476146757,0.556128516430566,0.590177164707277,0.607703445022839,0.60484222233122,0.601107029630995,0.58309151301442,0.603025276002763,0.594920684346958,0.589327686071604,0.547769018569467,0.581976909129826,0.599615966065928,0.596734899750384,0.592974643583073,0.574851612446785,0.594905642542916,0.586748882637427,0.558090777644508,0.515967322515903,0.550607238289934,0.568588751582911,0.565646150662732,0.561808875509022,0.543366779564257,0.563778960342246,0.555463781984398,0.571405527295398,0.529481224022338,0.563971303380657,0.581824202765209,0.575096890176126,0.556772836057015,0.577052208650941,0.568796527496006,0.568491580145739,0.561045640157271,0.578928891997492,0.576004226651209,0.572189249928031,0.553837083360223,0.574148040779567,0.565878318633826,0.593236228879324,0.5859062543678,0.603492471433225,0.600620720214104,0.596872219771582,0.578799460564783,0.598797238692702,0.590664921547572
HSPG2_ITGA2	63	Bcell--Tcell,Bcell--basal_like_2,Bcell--endothelial,Bcell--macrophage,Bcell--stroma,Tcell--endothelial,macrophage--endothelial,stroma--Tcell,Bcell--Bcell,Bcell--basal_like_1,Bcell--luminal_ar,Bcell--mesenchymal,Tcell--Bcell,Tcell--Tcell,Tcell--basal_like_1,Tcell--basal_like_2,Tcell--luminal_ar,Tcell--macrophage,Tcell--mesenchymal,Tcell--stroma,basal_like_1--basal_like_2,basal_like_1--endothelial,basal_like_1--mesenchymal,basal_like_2--Bcell,basal_like_2--Tcell,basal_like_2--basal_like_1,basal_like_2--basal_like_2,basal_like_2--endothelial,basal_like_2--luminal_ar,basal_like_2--macrophage,basal_like_2--mesenchymal,basal_like_2--stroma,endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_1,endothelial--basal_like_2,endothelial--endothelial,endothelial--luminal_ar,endothelial--macrophage,endothelial--mesenchymal,endothelial--stroma,luminal_ar--basal_like_2,luminal_ar--endothelial,luminal_ar--mesenchymal,macrophage--Bcell,macrophage--Tcell,macrophage--basal_like_1,macrophage--basal_like_2,macrophage--luminal_ar,macrophage--macrophage,macrophage--mesenchymal,macrophage--stroma,mesenchymal--basal_like_2,mesenchymal--endothelial,mesenchymal--mesenchymal,stroma--Bcell,stroma--basal_like_1,stroma--basal_like_2,stroma--endothelial,stroma--luminal_ar,stroma--macrophage,stroma--mesenchymal,stroma--stroma	0.567343753203227,0.647214108557852,0.695878957242584,0.572833497601573,0.612920671195329,0.657727620243047,0.663106821233523,0.577931533060669,0.57564695434138,0.614770459440334,0.613588013709099,0.683820996627071,0.532544643380571,0.524095311426544,0.572692173335631,0.606410802818177,0.571470600102598,0.529678899817988,0.644928839165182,0.570781401527122,0.522219771785934,0.576853963081861,0.563040118139208,0.561497629945503,0.553132492646321,0.601021493420236,0.633933578249776,0.683534629454981,0.599824316499097,0.558662285597697,0.671218477018487,0.599148732623934,0.665905122943177,0.658319720299937,0.701029067623623,0.729405659345567,0.770748655785139,0.699982178430458,0.663340103965005,0.760638102417156,0.699390942264905,0.500984621239657,0.555982440620603,0.5420281756169,0.53851083237136,0.530074180676364,0.578551467046244,0.612120890711949,0.577334281852718,0.535649772486284,0.650402272995968,0.576647527543206,0.527565816020609,0.582077914459446,0.568306984341069,0.586179750230856,0.624964836635754,0.657028903189528,0.704957050980231,0.623794533626695,0.58338558589609,0.69310028424842,0.62313399156297
