	n_cci_sig_cpdb	ccis_cpdb	ps_cpdb
JAM2_JAM3	25	Bcell--endothelial,Bcell--stroma,Tcell--endothelial,Tcell--stroma,basal_like_1--stroma,endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_1,endothelial--basal_like_2,endothelial--endothelial,endothelial--luminal_ar,endothelial--macrophage,endothelial--mesenchymal,endothelial--stroma,macrophage--endothelial,macrophage--stroma,stroma--Bcell,stroma--Tcell,stroma--basal_like_1,stroma--basal_like_2,stroma--endothelial,stroma--luminal_ar,stroma--macrophage,stroma--mesenchymal,stroma--stroma	1.7695510786217261,1.6197887582883939,1.3098039199714864,1.3665315444204136,1.6989700043360187,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.585026652029182,2.0969100130080562,1.5228787452803376,1.7695510786217261,3.0,3.0,3.0,3.0,3.0,1.7958800173440752,3.0
JAM3_JAM3	21	basal_like_1--stroma,basal_like_2--endothelial,basal_like_2--stroma,endothelial--basal_like_2,endothelial--endothelial,endothelial--luminal_ar,endothelial--macrophage,endothelial--stroma,luminal_ar--endothelial,luminal_ar--luminal_ar,luminal_ar--macrophage,luminal_ar--stroma,macrophage--endothelial,macrophage--luminal_ar,macrophage--stroma,stroma--basal_like_1,stroma--basal_like_2,stroma--endothelial,stroma--luminal_ar,stroma--macrophage,stroma--stroma	2.154901959985743,1.7695510786217261,3.0,1.7695510786217261,1.8860566476931633,2.6989700043360187,2.3979400086720375,3.0,2.6989700043360187,1.5528419686577808,1.6382721639824072,3.0,2.3979400086720375,1.6382721639824072,3.0,2.154901959985743,3.0,3.0,3.0,3.0,3.0
FFAR2_FAM3C	11	basal_like_1--endothelial,basal_like_1--macrophage,basal_like_1--stroma,luminal_ar--Tcell,luminal_ar--endothelial,luminal_ar--macrophage,luminal_ar--stroma,mesenchymal--Tcell,mesenchymal--endothelial,mesenchymal--macrophage,mesenchymal--stroma	1.9586073148417749,2.221848749616356,3.0,1.6575773191777938,2.5228787452803374,2.6989700043360187,3.0,1.3979400086720375,2.154901959985743,2.5228787452803374,3.0
HLA-C_FAM3C	27	Tcell--Bcell,Tcell--Tcell,Tcell--basal_like_1,Tcell--basal_like_2,Tcell--endothelial,Tcell--luminal_ar,Tcell--macrophage,Tcell--mesenchymal,Tcell--stroma,basal_like_1--Bcell,basal_like_1--Tcell,basal_like_1--basal_like_1,basal_like_1--basal_like_2,basal_like_1--endothelial,basal_like_1--luminal_ar,basal_like_1--macrophage,basal_like_1--mesenchymal,basal_like_1--stroma,macrophage--Bcell,macrophage--Tcell,macrophage--basal_like_1,macrophage--basal_like_2,macrophage--endothelial,macrophage--luminal_ar,macrophage--macrophage,macrophage--mesenchymal,macrophage--stroma	3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
GPR42_FAM3C	0		
LAMP1_FAM3C	22	basal_like_1--Bcell,basal_like_1--Tcell,basal_like_1--basal_like_1,basal_like_1--basal_like_2,basal_like_1--endothelial,basal_like_1--macrophage,basal_like_1--stroma,luminal_ar--Bcell,luminal_ar--Tcell,luminal_ar--basal_like_1,luminal_ar--basal_like_2,luminal_ar--endothelial,luminal_ar--luminal_ar,luminal_ar--macrophage,luminal_ar--mesenchymal,luminal_ar--stroma,macrophage--Bcell,macrophage--Tcell,macrophage--basal_like_2,macrophage--endothelial,macrophage--macrophage,macrophage--stroma	1.585026652029182,2.3010299956639813,1.9208187539523751,2.5228787452803374,3.0,3.0,3.0,2.5228787452803374,3.0,2.3010299956639813,3.0,3.0,2.221848749616356,3.0,1.5086383061657274,3.0,1.4814860601221125,1.9208187539523751,1.5686362358410126,2.5228787452803374,2.221848749616356,2.154901959985743
KIR2DL3_FAM3C	0		
CXADR_FAM3C	22	Bcell--endothelial,Bcell--macrophage,Bcell--stroma,basal_like_1--Tcell,basal_like_1--endothelial,basal_like_1--macrophage,basal_like_1--stroma,luminal_ar--Tcell,luminal_ar--endothelial,luminal_ar--macrophage,luminal_ar--stroma,macrophage--endothelial,macrophage--macrophage,macrophage--stroma,mesenchymal--Tcell,mesenchymal--endothelial,mesenchymal--macrophage,mesenchymal--stroma,stroma--Tcell,stroma--endothelial,stroma--macrophage,stroma--stroma	1.7958800173440752,1.6989700043360187,1.6382721639824072,1.3767507096020994,1.9586073148417749,2.3979400086720375,3.0,1.585026652029182,2.6989700043360187,3.0,3.0,1.5228787452803376,1.431798275933005,1.4559319556497243,1.5086383061657274,2.3979400086720375,3.0,3.0,1.3979400086720375,2.154901959985743,2.5228787452803374,3.0
PDCD1_FAM3C	18	Tcell--Bcell,Tcell--Tcell,Tcell--basal_like_1,Tcell--basal_like_2,Tcell--endothelial,Tcell--macrophage,Tcell--stroma,endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_1,endothelial--basal_like_2,endothelial--endothelial,endothelial--macrophage,endothelial--stroma,macrophage--Tcell,macrophage--endothelial,macrophage--macrophage,macrophage--stroma	1.3565473235138126,2.221848749616356,1.6020599913279623,1.9586073148417749,3.0,3.0,3.0,1.4202164033831899,2.3010299956639813,1.8860566476931633,2.3010299956639813,3.0,3.0,3.0,1.5228787452803376,2.3979400086720375,2.6989700043360187,3.0
ADGRG5_FAM3C	0		
FFAR2_CCL4L2	10	basal_like_1--Tcell,basal_like_1--macrophage,luminal_ar--Bcell,luminal_ar--Tcell,luminal_ar--basal_like_1,luminal_ar--macrophage,luminal_ar--stroma,mesenchymal--Tcell,mesenchymal--macrophage,mesenchymal--stroma	1.3098039199714864,3.0,1.5086383061657274,1.853871964321762,1.6575773191777938,3.0,2.0457574905606752,1.5528419686577808,3.0,1.431798275933005
GPR42_CCL4L2	0		
PGRMC2_CCL4L2	12	basal_like_1--Bcell,basal_like_1--Tcell,basal_like_1--macrophage,basal_like_1--stroma,basal_like_2--macrophage,luminal_ar--Bcell,luminal_ar--Tcell,luminal_ar--macrophage,luminal_ar--stroma,mesenchymal--macrophage,stroma--Tcell,stroma--macrophage	1.3872161432802645,1.7958800173440752,3.0,1.853871964321762,2.6989700043360187,1.7958800173440752,2.3979400086720375,3.0,1.9208187539523751,3.0,1.5686362358410126,3.0
FFAR2_TNF	6	basal_like_1--mesenchymal,luminal_ar--basal_like_1,luminal_ar--luminal_ar,luminal_ar--mesenchymal,mesenchymal--luminal_ar,mesenchymal--mesenchymal	2.221848749616356,2.3979400086720375,2.3979400086720375,3.0,1.3665315444204136,2.5228787452803374
HLA-C_KIR2DL3	0		
HLA-C_KIR2DL1	0		
GPR42_ADIPOQ	0		
ASGR2_ADIPOQ	0		
CNR2_ADIPOQ	0		
LAMP1_VSTM1	0		
KIR2DL3_CXCL9	0		
CXCR3_CXCL9	15	Bcell--Tcell,Bcell--macrophage,Tcell--Tcell,Tcell--basal_like_1,Tcell--basal_like_2,Tcell--macrophage,basal_like_1--Tcell,basal_like_1--macrophage,endothelial--Tcell,endothelial--macrophage,macrophage--Tcell,macrophage--basal_like_1,macrophage--macrophage,stroma--Tcell,stroma--macrophage	3.0,3.0,3.0,3.0,2.3010299956639813,3.0,3.0,3.0,3.0,3.0,3.0,1.4814860601221125,3.0,3.0,3.0
DPP4_CXCL9	0		
FCGR2A_CXCL9	25	Bcell--Tcell,Bcell--macrophage,Tcell--Tcell,Tcell--basal_like_1,Tcell--basal_like_2,Tcell--macrophage,basal_like_1--Tcell,basal_like_1--macrophage,basal_like_2--Tcell,basal_like_2--macrophage,endothelial--Tcell,endothelial--macrophage,luminal_ar--Tcell,luminal_ar--macrophage,macrophage--Bcell,macrophage--Tcell,macrophage--basal_like_1,macrophage--basal_like_2,macrophage--endothelial,macrophage--macrophage,macrophage--stroma,mesenchymal--Tcell,mesenchymal--macrophage,stroma--Tcell,stroma--macrophage	3.0,3.0,3.0,1.8860566476931633,1.494850021680094,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.3767507096020994,3.0,3.0,3.0,1.9208187539523751,3.0,3.0,3.0,3.0,3.0,3.0
PDCD1_CD274	10	Tcell--Bcell,Tcell--Tcell,Tcell--basal_like_1,Tcell--macrophage,endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_1,endothelial--macrophage,macrophage--Bcell,macrophage--macrophage	3.0,2.3010299956639813,2.6989700043360187,3.0,3.0,2.5228787452803374,2.6989700043360187,3.0,1.9208187539523751,3.0
CD80_CD274	0		
PDCD1_PDCD1LG2	3	Tcell--macrophage,endothelial--macrophage,macrophage--macrophage	3.0,3.0,3.0
EGFR_NRG1	0		
HLA-DPB1_NRG1	0		
ADGRL1_NRG1	0		
EGF_NRG1	0		
ERBB3_NRG1	0		
EGFR_EGF	0		
EGFR_TGFA	0		
EGFR_TGFB1	12	endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_2,endothelial--endothelial,endothelial--macrophage,endothelial--stroma,mesenchymal--Bcell,mesenchymal--Tcell,mesenchymal--basal_like_2,mesenchymal--endothelial,mesenchymal--macrophage,mesenchymal--stroma	1.3979400086720375,3.0,3.0,3.0,3.0,3.0,1.6197887582883939,3.0,3.0,3.0,3.0,3.0
EGFR_MIF	6	endothelial--basal_like_2,endothelial--luminal_ar,endothelial--mesenchymal,mesenchymal--basal_like_2,mesenchymal--luminal_ar,mesenchymal--mesenchymal	3.0,3.0,3.0,3.0,3.0,3.0
CD74_MIF	52	Bcell--Bcell,Bcell--basal_like_1,Bcell--basal_like_2,Bcell--endothelial,Bcell--luminal_ar,Bcell--macrophage,Bcell--mesenchymal,Bcell--stroma,Tcell--Bcell,Tcell--Tcell,Tcell--basal_like_1,Tcell--basal_like_2,Tcell--endothelial,Tcell--luminal_ar,Tcell--macrophage,Tcell--mesenchymal,Tcell--stroma,basal_like_2--Bcell,basal_like_2--basal_like_1,basal_like_2--basal_like_2,basal_like_2--endothelial,basal_like_2--luminal_ar,basal_like_2--macrophage,basal_like_2--mesenchymal,basal_like_2--stroma,endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_1,endothelial--basal_like_2,endothelial--endothelial,endothelial--luminal_ar,endothelial--macrophage,endothelial--mesenchymal,endothelial--stroma,macrophage--Bcell,macrophage--Tcell,macrophage--basal_like_1,macrophage--basal_like_2,macrophage--endothelial,macrophage--luminal_ar,macrophage--macrophage,macrophage--mesenchymal,macrophage--stroma,stroma--Bcell,stroma--Tcell,stroma--basal_like_1,stroma--basal_like_2,stroma--endothelial,stroma--luminal_ar,stroma--macrophage,stroma--mesenchymal,stroma--stroma	1.853871964321762,2.221848749616356,3.0,1.4814860601221125,3.0,1.744727494896694,3.0,1.9586073148417749,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.221848749616356,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
EGFR_AREG	0		
ICAM1_AREG	0		
EGFR_GRN	8	endothelial--basal_like_2,endothelial--endothelial,endothelial--macrophage,endothelial--stroma,mesenchymal--basal_like_2,mesenchymal--endothelial,mesenchymal--macrophage,mesenchymal--stroma	3.0,2.6989700043360187,3.0,3.0,3.0,2.6989700043360187,3.0,3.0
