	n_cci_sig_cpdb	ccis_cpdb	ps_cpdb
TNF_VSIR	18	basal_like_1--Bcell,basal_like_1--Tcell,basal_like_1--basal_like_2,basal_like_1--endothelial,basal_like_1--macrophage,basal_like_1--stroma,luminal_ar--Bcell,luminal_ar--Tcell,luminal_ar--basal_like_2,luminal_ar--endothelial,luminal_ar--macrophage,luminal_ar--stroma,mesenchymal--Bcell,mesenchymal--Tcell,mesenchymal--basal_like_2,mesenchymal--endothelial,mesenchymal--macrophage,mesenchymal--stroma	3.0,3.0,3.0,2.6989700043360187,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
HLA-F_KIR3DL2	0		
HLA-B_KIR3DL2	0		
HLA-F_LILRB2	27	Bcell--macrophage,Tcell--Bcell,Tcell--Tcell,Tcell--basal_like_1,Tcell--endothelial,Tcell--luminal_ar,Tcell--macrophage,Tcell--stroma,basal_like_1--macrophage,endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_1,endothelial--endothelial,endothelial--luminal_ar,endothelial--macrophage,endothelial--stroma,macrophage--Bcell,macrophage--Tcell,macrophage--basal_like_1,macrophage--endothelial,macrophage--luminal_ar,macrophage--macrophage,macrophage--stroma,stroma--Bcell,stroma--endothelial,stroma--macrophage,stroma--stroma	1.3187587626244128,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.154901959985743,1.9208187539523751,1.5086383061657274,2.221848749616356,1.4559319556497243,3.0,2.6989700043360187,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.3467874862246563,1.4814860601221125,3.0,3.0
CD1D_LILRB2	10	Bcell--Bcell,Bcell--endothelial,Bcell--macrophage,Bcell--stroma,Tcell--Bcell,Tcell--Tcell,Tcell--basal_like_1,Tcell--endothelial,Tcell--macrophage,Tcell--stroma	1.431798275933005,1.7958800173440752,3.0,3.0,2.6989700043360187,1.8239087409443189,1.337242168318426,2.221848749616356,3.0,3.0
HLA-G_LILRB2	0		
HLA-F_LILRB1	4	Tcell--macrophage,endothelial--macrophage,macrophage--macrophage,stroma--macrophage	3.0,2.5228787452803374,3.0,2.0969100130080562
HLA-G_LILRB1	0		
CCL4_CCR5	23	Tcell--Tcell,Tcell--macrophage,Tcell--stroma,basal_like_1--Tcell,basal_like_1--macrophage,basal_like_2--Tcell,basal_like_2--endothelial,basal_like_2--macrophage,basal_like_2--stroma,endothelial--Tcell,luminal_ar--Tcell,macrophage--Bcell,macrophage--Tcell,macrophage--basal_like_1,macrophage--endothelial,macrophage--luminal_ar,macrophage--macrophage,macrophage--stroma,mesenchymal--Tcell,stroma--Tcell,stroma--endothelial,stroma--macrophage,stroma--stroma	2.5228787452803374,2.154901959985743,1.494850021680094,3.0,3.0,3.0,1.585026652029182,3.0,3.0,1.3467874862246563,1.7958800173440752,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.6197887582883939,3.0,1.6777807052660807,3.0,3.0
CCL3_CCR5	25	Tcell--Tcell,Tcell--macrophage,Tcell--stroma,basal_like_1--Tcell,basal_like_1--macrophage,basal_like_1--stroma,basal_like_2--Tcell,basal_like_2--endothelial,basal_like_2--macrophage,basal_like_2--stroma,luminal_ar--Tcell,luminal_ar--macrophage,macrophage--Bcell,macrophage--Tcell,macrophage--basal_like_1,macrophage--endothelial,macrophage--luminal_ar,macrophage--macrophage,macrophage--stroma,mesenchymal--Tcell,mesenchymal--macrophage,mesenchymal--stroma,stroma--Tcell,stroma--macrophage,stroma--stroma	2.6989700043360187,2.5228787452803374,1.6382721639824072,3.0,3.0,1.6197887582883939,3.0,1.6777807052660807,3.0,3.0,3.0,2.3010299956639813,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.6989700043360187,1.5686362358410126,3.0,3.0,2.3979400086720375
CCL5_CCR5	36	Bcell--Tcell,Bcell--macrophage,Bcell--stroma,Tcell--Bcell,Tcell--Tcell,Tcell--basal_like_1,Tcell--endothelial,Tcell--luminal_ar,Tcell--macrophage,Tcell--stroma,basal_like_2--Bcell,basal_like_2--Tcell,basal_like_2--basal_like_1,basal_like_2--endothelial,basal_like_2--luminal_ar,basal_like_2--macrophage,basal_like_2--stroma,endothelial--Bcell,endothelial--Tcell,endothelial--endothelial,endothelial--macrophage,endothelial--stroma,macrophage--Bcell,macrophage--Tcell,macrophage--basal_like_1,macrophage--endothelial,macrophage--luminal_ar,macrophage--macrophage,macrophage--stroma,stroma--Bcell,stroma--Tcell,stroma--basal_like_1,stroma--endothelial,stroma--luminal_ar,stroma--macrophage,stroma--stroma	1.9208187539523751,1.7212463990471711,1.3665315444204136,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.3565473235138126,2.3010299956639813,1.4559319556497243,2.154901959985743,1.6777807052660807,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
CCL4_SLC7A1	15	basal_like_2--basal_like_1,basal_like_2--luminal_ar,basal_like_2--mesenchymal,macrophage--Bcell,macrophage--Tcell,macrophage--basal_like_1,macrophage--basal_like_2,macrophage--endothelial,macrophage--luminal_ar,macrophage--macrophage,macrophage--mesenchymal,macrophage--stroma,stroma--basal_like_1,stroma--luminal_ar,stroma--mesenchymal	2.5228787452803374,1.9208187539523751,1.6020599913279623,2.0969100130080562,1.8860566476931633,3.0,3.0,1.8860566476931633,3.0,2.5228787452803374,3.0,2.6989700043360187,2.3010299956639813,2.5228787452803374,1.4436974992327127
CSF1_SLC7A1	25	Bcell--basal_like_1,Bcell--luminal_ar,Bcell--mesenchymal,Tcell--basal_like_1,Tcell--luminal_ar,Tcell--mesenchymal,basal_like_2--basal_like_1,basal_like_2--basal_like_2,basal_like_2--luminal_ar,basal_like_2--mesenchymal,endothelial--basal_like_1,endothelial--basal_like_2,endothelial--luminal_ar,endothelial--mesenchymal,macrophage--basal_like_1,macrophage--basal_like_2,macrophage--luminal_ar,macrophage--mesenchymal,stroma--Bcell,stroma--basal_like_1,stroma--basal_like_2,stroma--luminal_ar,stroma--macrophage,stroma--mesenchymal,stroma--stroma	1.4814860601221125,1.537602002101044,1.5086383061657274,1.6382721639824072,1.6777807052660807,1.4202164033831899,2.5228787452803374,1.4202164033831899,2.6989700043360187,2.0,1.8860566476931633,1.5228787452803376,2.0457574905606752,1.8860566476931633,3.0,1.537602002101044,3.0,2.5228787452803374,1.3098039199714864,3.0,3.0,3.0,1.585026652029182,3.0,1.537602002101044
CCL4_CNR2	0		
CCL3_IDE	11	basal_like_2--basal_like_1,basal_like_2--luminal_ar,macrophage--Bcell,macrophage--Tcell,macrophage--basal_like_1,macrophage--basal_like_2,macrophage--endothelial,macrophage--luminal_ar,macrophage--macrophage,macrophage--mesenchymal,macrophage--stroma	2.154901959985743,1.6575773191777938,2.221848749616356,2.5228787452803374,3.0,3.0,2.221848749616356,3.0,3.0,3.0,3.0
IGF1_IGF1R	27	Bcell--luminal_ar,Bcell--mesenchymal,Tcell--basal_like_2,Tcell--endothelial,Tcell--luminal_ar,Tcell--mesenchymal,endothelial--Bcell,endothelial--basal_like_2,endothelial--endothelial,endothelial--luminal_ar,endothelial--macrophage,endothelial--mesenchymal,endothelial--stroma,macrophage--Bcell,macrophage--basal_like_2,macrophage--endothelial,macrophage--luminal_ar,macrophage--mesenchymal,stroma--Bcell,stroma--Tcell,stroma--basal_like_1,stroma--basal_like_2,stroma--endothelial,stroma--luminal_ar,stroma--macrophage,stroma--mesenchymal,stroma--stroma	1.744727494896694,1.6020599913279623,1.337242168318426,1.6989700043360187,3.0,2.3979400086720375,1.9208187539523751,2.5228787452803374,2.3010299956639813,3.0,1.5686362358410126,3.0,1.6777807052660807,1.3187587626244128,1.585026652029182,1.853871964321762,3.0,3.0,3.0,2.154901959985743,3.0,3.0,3.0,3.0,3.0,3.0,3.0
BDNF_NTRK2	0		
NTF3_NTRK2	0		
NTF4_NTRK2	0		
BDNF_SORT1	0		
GRN_SORT1	36	basal_like_2--Bcell,basal_like_2--Tcell,basal_like_2--basal_like_1,basal_like_2--basal_like_2,basal_like_2--endothelial,basal_like_2--luminal_ar,basal_like_2--macrophage,basal_like_2--mesenchymal,basal_like_2--stroma,endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_1,endothelial--basal_like_2,endothelial--endothelial,endothelial--luminal_ar,endothelial--macrophage,endothelial--mesenchymal,endothelial--stroma,macrophage--Bcell,macrophage--Tcell,macrophage--basal_like_1,macrophage--basal_like_2,macrophage--endothelial,macrophage--luminal_ar,macrophage--macrophage,macrophage--mesenchymal,macrophage--stroma,stroma--Bcell,stroma--Tcell,stroma--basal_like_1,stroma--basal_like_2,stroma--endothelial,stroma--luminal_ar,stroma--macrophage,stroma--mesenchymal,stroma--stroma	3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.6382721639824072,1.585026652029182,2.3979400086720375,1.9208187539523751,2.0457574905606752,2.6989700043360187,2.0,2.5228787452803374,2.0457574905606752,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.3187587626244128,1.6197887582883939,3.0,2.0969100130080562,2.5228787452803374,3.0,2.5228787452803374,2.6989700043360187,2.5228787452803374
COPA_SORT1	19	basal_like_1--basal_like_1,basal_like_1--basal_like_2,basal_like_1--endothelial,basal_like_1--luminal_ar,basal_like_1--macrophage,basal_like_1--mesenchymal,basal_like_1--stroma,luminal_ar--Bcell,luminal_ar--Tcell,luminal_ar--basal_like_1,luminal_ar--basal_like_2,luminal_ar--endothelial,luminal_ar--luminal_ar,luminal_ar--macrophage,luminal_ar--mesenchymal,luminal_ar--stroma,mesenchymal--basal_like_1,mesenchymal--luminal_ar,mesenchymal--mesenchymal	3.0,1.5528419686577808,1.4685210829577449,3.0,2.5228787452803374,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.3872161432802645,1.7695510786217261,1.494850021680094
BDNF_F11R	0		
ADIPOQ_CD200R1	0		
CD200_CD200R1	6	Bcell--Tcell,Tcell--Tcell,basal_like_1--Tcell,endothelial--Tcell,macrophage--Tcell,stroma--Tcell	3.0,3.0,1.4685210829577449,3.0,2.6989700043360187,3.0
ADIPOQ_CLEC2D	0		
KLRB1_CLEC2D	13	Tcell--Bcell,Tcell--Tcell,Tcell--basal_like_1,Tcell--basal_like_2,Tcell--endothelial,Tcell--luminal_ar,Tcell--macrophage,Tcell--stroma,macrophage--Tcell,macrophage--basal_like_2,macrophage--endothelial,macrophage--macrophage,macrophage--stroma	1.5228787452803376,3.0,1.408935392973501,3.0,2.154901959985743,1.6989700043360187,3.0,3.0,3.0,1.6575773191777938,1.4202164033831899,3.0,3.0
FAM3C_CLEC2D	35	Bcell--Tcell,Bcell--macrophage,Bcell--stroma,Tcell--Tcell,Tcell--basal_like_2,Tcell--endothelial,Tcell--macrophage,Tcell--stroma,basal_like_1--Tcell,basal_like_1--macrophage,basal_like_1--stroma,basal_like_2--Tcell,basal_like_2--macrophage,basal_like_2--stroma,endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_2,endothelial--endothelial,endothelial--luminal_ar,endothelial--macrophage,endothelial--stroma,luminal_ar--Tcell,luminal_ar--macrophage,macrophage--Bcell,macrophage--Tcell,macrophage--basal_like_2,macrophage--endothelial,macrophage--macrophage,macrophage--stroma,mesenchymal--Tcell,stroma--Tcell,stroma--basal_like_2,stroma--endothelial,stroma--macrophage,stroma--stroma	3.0,2.0457574905606752,1.431798275933005,3.0,1.3565473235138126,1.537602002101044,3.0,2.3979400086720375,3.0,2.5228787452803374,1.9586073148417749,3.0,2.6989700043360187,2.5228787452803374,1.6575773191777938,3.0,2.0969100130080562,2.0969100130080562,1.537602002101044,3.0,3.0,3.0,2.0,1.3187587626244128,3.0,2.221848749616356,2.0457574905606752,3.0,3.0,3.0,3.0,2.5228787452803374,1.7958800173440752,3.0,3.0
TNF_DAG1	7	basal_like_1--basal_like_1,basal_like_1--luminal_ar,luminal_ar--basal_like_1,luminal_ar--luminal_ar,mesenchymal--basal_like_1,mesenchymal--luminal_ar,mesenchymal--mesenchymal	3.0,3.0,3.0,3.0,3.0,3.0,1.4559319556497243
LGALS9_DAG1	29	Bcell--basal_like_1,Bcell--luminal_ar,Bcell--mesenchymal,Tcell--basal_like_1,Tcell--basal_like_2,Tcell--luminal_ar,Tcell--mesenchymal,Tcell--stroma,basal_like_1--luminal_ar,basal_like_2--basal_like_1,basal_like_2--luminal_ar,basal_like_2--mesenchymal,endothelial--basal_like_1,endothelial--basal_like_2,endothelial--luminal_ar,endothelial--mesenchymal,macrophage--Bcell,macrophage--basal_like_1,macrophage--basal_like_2,macrophage--endothelial,macrophage--luminal_ar,macrophage--macrophage,macrophage--mesenchymal,macrophage--stroma,mesenchymal--luminal_ar,stroma--basal_like_1,stroma--basal_like_2,stroma--luminal_ar,stroma--mesenchymal	2.221848749616356,3.0,1.494850021680094,3.0,3.0,3.0,3.0,1.4814860601221125,3.0,3.0,3.0,1.3565473235138126,3.0,2.5228787452803374,3.0,3.0,1.537602002101044,3.0,3.0,1.5228787452803376,3.0,2.0457574905606752,3.0,2.3979400086720375,1.5686362358410126,3.0,3.0,3.0,3.0
TNF_NOTCH1	13	basal_like_1--Tcell,basal_like_1--endothelial,basal_like_1--macrophage,basal_like_1--stroma,luminal_ar--Tcell,luminal_ar--endothelial,luminal_ar--macrophage,luminal_ar--stroma,mesenchymal--Tcell,mesenchymal--basal_like_1,mesenchymal--endothelial,mesenchymal--macrophage,mesenchymal--stroma	2.5228787452803374,3.0,1.6777807052660807,2.3979400086720375,2.6989700043360187,3.0,2.0,2.6989700043360187,3.0,1.3467874862246563,3.0,2.5228787452803374,3.0
DLL1_NOTCH1	7	endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_1,endothelial--basal_like_2,endothelial--endothelial,endothelial--macrophage,endothelial--stroma	1.5528419686577808,3.0,1.5686362358410126,1.431798275933005,3.0,2.5228787452803374,3.0
TNF_SEMA4C	4	basal_like_1--basal_like_1,luminal_ar--basal_like_1,mesenchymal--basal_like_1,mesenchymal--luminal_ar	1.4202164033831899,1.6777807052660807,2.6989700043360187,1.7695510786217261
PLXNB2_SEMA4C	27	basal_like_2--Bcell,basal_like_2--Tcell,basal_like_2--basal_like_1,basal_like_2--basal_like_2,basal_like_2--endothelial,basal_like_2--luminal_ar,basal_like_2--macrophage,basal_like_2--mesenchymal,basal_like_2--stroma,luminal_ar--Bcell,luminal_ar--Tcell,luminal_ar--basal_like_1,luminal_ar--basal_like_2,luminal_ar--endothelial,luminal_ar--luminal_ar,luminal_ar--macrophage,luminal_ar--mesenchymal,luminal_ar--stroma,stroma--Bcell,stroma--Tcell,stroma--basal_like_1,stroma--basal_like_2,stroma--endothelial,stroma--luminal_ar,stroma--macrophage,stroma--mesenchymal,stroma--stroma	2.5228787452803374,2.6989700043360187,3.0,3.0,3.0,3.0,3.0,1.8860566476931633,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.5228787452803374,3.0,3.0,2.6989700043360187,3.0,3.0,3.0,3.0,3.0,2.3979400086720375,3.0
TNF_FLT4	7	basal_like_1--endothelial,basal_like_1--stroma,luminal_ar--endothelial,luminal_ar--stroma,mesenchymal--Bcell,mesenchymal--endothelial,mesenchymal--stroma	3.0,3.0,3.0,3.0,1.6575773191777938,3.0,3.0
VEGFD_FLT4	0		
TNF_ICOS	3	basal_like_1--Tcell,luminal_ar--Tcell,mesenchymal--Tcell	3.0,3.0,3.0
ICOSLG_ICOS	9	Bcell--Tcell,Tcell--Tcell,basal_like_1--Tcell,basal_like_2--Tcell,endothelial--Tcell,luminal_ar--Tcell,macrophage--Tcell,mesenchymal--Tcell,stroma--Tcell	1.3665315444204136,3.0,3.0,3.0,1.5086383061657274,3.0,3.0,3.0,3.0
TNF_TNFRSF1A	15	basal_like_1--Tcell,basal_like_1--basal_like_2,basal_like_1--endothelial,basal_like_1--macrophage,basal_like_1--stroma,luminal_ar--Tcell,luminal_ar--basal_like_2,luminal_ar--endothelial,luminal_ar--macrophage,luminal_ar--stroma,mesenchymal--Tcell,mesenchymal--basal_like_2,mesenchymal--endothelial,mesenchymal--macrophage,mesenchymal--stroma	2.0,3.0,3.0,2.0969100130080562,3.0,2.0457574905606752,3.0,3.0,2.5228787452803374,3.0,3.0,3.0,3.0,3.0,3.0
LTA_TNFRSF1A	5	Tcell--Tcell,Tcell--basal_like_2,Tcell--endothelial,Tcell--macrophage,Tcell--stroma	2.5228787452803374,3.0,3.0,3.0,3.0
TNFSF13_TNFRSF1A	0		
TNF_FAS	12	basal_like_1--Tcell,basal_like_1--macrophage,basal_like_1--stroma,luminal_ar--Tcell,luminal_ar--endothelial,luminal_ar--macrophage,luminal_ar--stroma,mesenchymal--Bcell,mesenchymal--Tcell,mesenchymal--endothelial,mesenchymal--macrophage,mesenchymal--stroma	1.8239087409443189,2.154901959985743,3.0,2.3010299956639813,1.3979400086720375,2.5228787452803374,3.0,1.7695510786217261,2.6989700043360187,1.9586073148417749,3.0,3.0
TNFSF13_FAS	0		
TNF_TNFRSF1B	17	basal_like_1--Tcell,basal_like_1--basal_like_2,basal_like_1--endothelial,basal_like_1--macrophage,basal_like_1--stroma,luminal_ar--Bcell,luminal_ar--Tcell,luminal_ar--basal_like_2,luminal_ar--endothelial,luminal_ar--macrophage,luminal_ar--stroma,mesenchymal--Bcell,mesenchymal--Tcell,mesenchymal--basal_like_2,mesenchymal--endothelial,mesenchymal--macrophage,mesenchymal--stroma	3.0,3.0,3.0,3.0,3.0,1.3279021420642825,3.0,3.0,3.0,3.0,3.0,1.537602002101044,3.0,3.0,3.0,3.0,3.0
LTA_TNFRSF1B	6	Tcell--Bcell,Tcell--Tcell,Tcell--basal_like_2,Tcell--endothelial,Tcell--macrophage,Tcell--stroma	1.6382721639824072,3.0,3.0,3.0,3.0,3.0
TNF_RIPK1	6	basal_like_1--basal_like_1,basal_like_1--luminal_ar,luminal_ar--basal_like_1,luminal_ar--luminal_ar,mesenchymal--basal_like_1,mesenchymal--luminal_ar	2.0969100130080562,1.494850021680094,3.0,1.8239087409443189,3.0,3.0
LTA_RIPK1	2	Tcell--basal_like_1,Tcell--luminal_ar	3.0,3.0
TNFSF10_RIPK1	22	basal_like_1--Bcell,basal_like_1--Tcell,basal_like_1--basal_like_1,basal_like_1--basal_like_2,basal_like_1--endothelial,basal_like_1--luminal_ar,basal_like_1--macrophage,basal_like_1--mesenchymal,basal_like_1--stroma,luminal_ar--basal_like_1,luminal_ar--basal_like_2,luminal_ar--luminal_ar,luminal_ar--mesenchymal,mesenchymal--Bcell,mesenchymal--Tcell,mesenchymal--basal_like_1,mesenchymal--basal_like_2,mesenchymal--endothelial,mesenchymal--luminal_ar,mesenchymal--macrophage,mesenchymal--mesenchymal,mesenchymal--stroma	3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.8239087409443189,1.408935392973501,1.9208187539523751,1.3665315444204136,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
TNF_PTPRS	0		
PTN_PTPRS	0		
TNF_CELSR2	8	basal_like_1--basal_like_1,basal_like_1--mesenchymal,luminal_ar--basal_like_1,luminal_ar--mesenchymal,mesenchymal--basal_like_1,mesenchymal--basal_like_2,mesenchymal--luminal_ar,mesenchymal--mesenchymal	1.9586073148417749,1.3665315444204136,2.0457574905606752,1.8239087409443189,2.6989700043360187,1.9586073148417749,2.0,2.3010299956639813
CXCR3_CCL19	26	Bcell--Tcell,Bcell--basal_like_2,Bcell--endothelial,Bcell--stroma,Tcell--Tcell,Tcell--basal_like_2,Tcell--endothelial,Tcell--macrophage,Tcell--stroma,basal_like_1--Tcell,basal_like_1--basal_like_2,basal_like_1--endothelial,basal_like_1--stroma,endothelial--Tcell,endothelial--basal_like_2,endothelial--endothelial,endothelial--stroma,macrophage--Tcell,macrophage--basal_like_2,macrophage--endothelial,macrophage--macrophage,macrophage--stroma,stroma--Tcell,stroma--basal_like_2,stroma--endothelial,stroma--stroma	3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.221848749616356,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.5686362358410126,3.0,3.0,3.0,3.0,3.0
CCRL2_CCL19	0		
CCR7_CCL19	18	Bcell--Tcell,Bcell--basal_like_2,Bcell--endothelial,Bcell--stroma,Tcell--Tcell,Tcell--basal_like_2,Tcell--endothelial,Tcell--macrophage,Tcell--stroma,endothelial--Tcell,endothelial--basal_like_2,endothelial--endothelial,endothelial--stroma,macrophage--Tcell,macrophage--basal_like_2,macrophage--endothelial,macrophage--macrophage,macrophage--stroma	3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.3872161432802645,3.0
CXCR3_CCL20	0		
CCR6_CCL20	0		
DPP4_CCL11	0		
ACKR2_CCL11	0		
CCR2_CCL11	6	Bcell--Tcell,Bcell--macrophage,Tcell--Tcell,Tcell--macrophage,macrophage--Tcell,macrophage--macrophage	3.0,3.0,2.3979400086720375,2.5228787452803374,2.3979400086720375,2.6989700043360187
DPP4_CXCL12	0		
ACKR3_CXCL12	43	Bcell--Tcell,Bcell--endothelial,Bcell--macrophage,Bcell--stroma,Tcell--Tcell,Tcell--endothelial,Tcell--macrophage,Tcell--stroma,basal_like_1--Tcell,basal_like_1--basal_like_2,basal_like_1--endothelial,basal_like_1--macrophage,basal_like_1--stroma,basal_like_2--Tcell,basal_like_2--basal_like_2,basal_like_2--endothelial,basal_like_2--macrophage,basal_like_2--stroma,endothelial--Tcell,endothelial--basal_like_2,endothelial--endothelial,endothelial--macrophage,endothelial--stroma,luminal_ar--Bcell,luminal_ar--Tcell,luminal_ar--basal_like_2,luminal_ar--endothelial,luminal_ar--macrophage,luminal_ar--stroma,macrophage--Tcell,macrophage--endothelial,macrophage--macrophage,macrophage--stroma,mesenchymal--Tcell,mesenchymal--basal_like_2,mesenchymal--endothelial,mesenchymal--macrophage,mesenchymal--stroma,stroma--Tcell,stroma--basal_like_2,stroma--endothelial,stroma--macrophage,stroma--stroma	2.154901959985743,3.0,3.0,3.0,2.154901959985743,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.3979400086720375,3.0,3.0,3.0,3.0,2.6989700043360187,3.0,3.0,3.0,2.6989700043360187,3.0,3.0,3.0,3.0,3.0,2.3979400086720375,3.0,3.0,3.0,3.0,2.5228787452803374,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
TNFRSF13B_TNFSF13	0		
TNFRSF13B_CD70	0		
CD27_CD70	0		
CD40_CD40LG	0		
CD40_INSL3	0		
HLA-DRB1_OGN	0		
NGFR_IL2	0		
NGFR_BDNF	0		
NCAM1_BDNF	0		
NGFR_NTF4	0		
NOTCH2_IL24	0		
NOTCH2_DLL4	15	Tcell--Bcell,Tcell--Tcell,Tcell--endothelial,Tcell--macrophage,Tcell--stroma,macrophage--Bcell,macrophage--Tcell,macrophage--endothelial,macrophage--macrophage,macrophage--stroma,stroma--Bcell,stroma--Tcell,stroma--endothelial,stroma--macrophage,stroma--stroma	1.6989700043360187,2.221848749616356,2.5228787452803374,1.6575773191777938,2.221848749616356,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
NOTCH1_DLL4	27	Bcell--Tcell,Bcell--endothelial,Tcell--Bcell,Tcell--Tcell,Tcell--endothelial,Tcell--macrophage,Tcell--stroma,basal_like_1--Tcell,basal_like_1--endothelial,basal_like_1--stroma,basal_like_2--Tcell,basal_like_2--endothelial,endothelial--Bcell,endothelial--Tcell,endothelial--endothelial,endothelial--macrophage,endothelial--stroma,macrophage--Bcell,macrophage--Tcell,macrophage--endothelial,macrophage--macrophage,macrophage--stroma,stroma--Bcell,stroma--Tcell,stroma--endothelial,stroma--macrophage,stroma--stroma	1.4685210829577449,1.4685210829577449,2.5228787452803374,3.0,3.0,2.5228787452803374,3.0,1.6989700043360187,1.6575773191777938,1.4559319556497243,1.4436974992327127,1.3467874862246563,3.0,3.0,3.0,3.0,3.0,1.6020599913279623,2.6989700043360187,2.3979400086720375,1.4202164033831899,2.6989700043360187,1.585026652029182,3.0,3.0,1.6575773191777938,3.0
NOTCH4_DLL4	14	Bcell--Tcell,endothelial--Bcell,endothelial--Tcell,endothelial--endothelial,endothelial--macrophage,endothelial--stroma,mesenchymal--Tcell,mesenchymal--endothelial,mesenchymal--stroma,stroma--Bcell,stroma--Tcell,stroma--endothelial,stroma--macrophage,stroma--stroma	1.3279021420642825,3.0,3.0,3.0,3.0,3.0,2.6989700043360187,2.3010299956639813,1.8860566476931633,2.221848749616356,3.0,3.0,3.0,3.0
NOTCH2_DLL3	9	Tcell--basal_like_1,Tcell--luminal_ar,Tcell--mesenchymal,macrophage--basal_like_1,macrophage--luminal_ar,macrophage--mesenchymal,stroma--basal_like_1,stroma--luminal_ar,stroma--mesenchymal	1.7695510786217261,1.7212463990471711,2.0,3.0,3.0,3.0,3.0,3.0,3.0
NOTCH1_DLL3	12	Tcell--basal_like_1,Tcell--luminal_ar,Tcell--mesenchymal,endothelial--basal_like_1,endothelial--luminal_ar,endothelial--mesenchymal,macrophage--basal_like_1,macrophage--luminal_ar,macrophage--mesenchymal,stroma--basal_like_1,stroma--luminal_ar,stroma--mesenchymal	2.5228787452803374,2.5228787452803374,3.0,3.0,3.0,3.0,1.7958800173440752,1.7695510786217261,1.8860566476931633,3.0,2.6989700043360187,2.3979400086720375
NOTCH4_DLL3	6	endothelial--basal_like_1,endothelial--luminal_ar,endothelial--mesenchymal,stroma--basal_like_1,stroma--luminal_ar,stroma--mesenchymal	3.0,3.0,3.0,3.0,3.0,3.0
NOTCH2_JAG2	22	Tcell--basal_like_2,Tcell--endothelial,Tcell--mesenchymal,Tcell--stroma,basal_like_1--stroma,basal_like_2--endothelial,basal_like_2--stroma,macrophage--Bcell,macrophage--Tcell,macrophage--basal_like_1,macrophage--basal_like_2,macrophage--endothelial,macrophage--luminal_ar,macrophage--macrophage,macrophage--mesenchymal,macrophage--stroma,stroma--basal_like_1,stroma--basal_like_2,stroma--endothelial,stroma--luminal_ar,stroma--mesenchymal,stroma--stroma	2.3010299956639813,3.0,1.9586073148417749,3.0,3.0,1.3187587626244128,3.0,2.3010299956639813,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.154901959985743,3.0,2.6989700043360187,1.7695510786217261,2.6989700043360187,3.0
NOTCH1_JAG2	33	Bcell--basal_like_2,Bcell--endothelial,Bcell--stroma,Tcell--Tcell,Tcell--basal_like_1,Tcell--basal_like_2,Tcell--endothelial,Tcell--luminal_ar,Tcell--macrophage,Tcell--mesenchymal,Tcell--stroma,basal_like_1--basal_like_2,basal_like_1--endothelial,basal_like_1--stroma,basal_like_2--basal_like_2,basal_like_2--endothelial,basal_like_2--stroma,endothelial--Tcell,endothelial--basal_like_1,endothelial--basal_like_2,endothelial--endothelial,endothelial--luminal_ar,endothelial--macrophage,endothelial--mesenchymal,endothelial--stroma,macrophage--basal_like_2,macrophage--endothelial,macrophage--mesenchymal,macrophage--stroma,stroma--basal_like_2,stroma--endothelial,stroma--mesenchymal,stroma--stroma	1.3979400086720375,1.7958800173440752,3.0,1.3467874862246563,1.9208187539523751,3.0,3.0,2.0,1.3467874862246563,2.6989700043360187,3.0,1.5086383061657274,1.5086383061657274,3.0,1.3279021420642825,1.5086383061657274,3.0,1.7958800173440752,2.6989700043360187,3.0,3.0,2.5228787452803374,1.9208187539523751,3.0,3.0,2.6989700043360187,2.5228787452803374,1.5086383061657274,3.0,3.0,2.5228787452803374,1.4436974992327127,3.0
