	n_cci_sig_NATMI	ccis_NATMI	ps_NATMI
HRAS_CAV1	18	Bcell--endothelial,Bcell--stroma,Tcell--endothelial,Tcell--stroma,basal_like_1--endothelial,basal_like_1--stroma,basal_like_2--endothelial,basal_like_2--stroma,endothelial--endothelial,endothelial--stroma,luminal_ar--endothelial,luminal_ar--stroma,macrophage--endothelial,macrophage--stroma,mesenchymal--endothelial,mesenchymal--stroma,stroma--endothelial,stroma--stroma	0.02641386294627137,0.0240754448407895,0.02326146676227445,0.0212021301499958,0.03045482893621865,0.02775866429234706,0.0364066607291567,0.03318358068280501,0.03402665942354457,0.031014280786351937,0.0263536053078217,0.02402052180837724,0.029369206867809187,0.02676915229710802,0.02867913188491555,0.02614016962159179,0.03514530179298392,0.03203388979684728
HRAS_INSR	13	basal_like_2--Bcell,basal_like_2--basal_like_2,basal_like_2--endothelial,basal_like_2--luminal_ar,basal_like_2--mesenchymal,basal_like_2--stroma,endothelial--basal_like_2,endothelial--endothelial,endothelial--mesenchymal,stroma--basal_like_2,stroma--endothelial,stroma--luminal_ar,stroma--mesenchymal	0.01540266886552654,0.016775134608681408,0.01637776887688078,0.01587458770882716,0.01613083795567362,0.015078203801845219,0.01567849895270908,0.015307110087271631,0.0150763217043555,0.01619393695087986,0.01581033850250202,0.0153245907394937,0.01557196284337723
HSPG2_ITGA2	22	Bcell--basal_like_2,Bcell--endothelial,Bcell--mesenchymal,Tcell--endothelial,Tcell--mesenchymal,basal_like_2--basal_like_2,basal_like_2--endothelial,basal_like_2--mesenchymal,endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_1,endothelial--basal_like_2,endothelial--endothelial,endothelial--luminal_ar,endothelial--macrophage,endothelial--mesenchymal,endothelial--stroma,macrophage--endothelial,macrophage--mesenchymal,stroma--basal_like_2,stroma--endothelial,stroma--mesenchymal	0.01687149305943617,0.02624547607837521,0.02344762160255729,0.01851093841125294,0.01653761120884845,0.015033070838127681,0.023385606696256767,0.02089262374675905,0.0199143006171063,0.01860860777408791,0.02756094488292311,0.03642342818003147,0.0566606766587723,0.027287254472609258,0.01946120464729146,0.05062046129673371,0.02713412783525436,0.01942059540906078,0.017350295764808583,0.01839644413900977,0.028617706380616118,0.0255669643157533
HSPG2_ITGB1	19	Bcell--endothelial,Bcell--macrophage,Bcell--stroma,basal_like_2--endothelial,basal_like_2--stroma,endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_1,endothelial--basal_like_2,endothelial--endothelial,endothelial--luminal_ar,endothelial--macrophage,endothelial--mesenchymal,endothelial--stroma,stroma--Tcell,stroma--endothelial,stroma--luminal_ar,stroma--macrophage,stroma--stroma	0.018694428238603008,0.0154824258017695,0.01692666531624142,0.01665736772668331,0.01508223118463234,0.02854692575929995,0.030713761627623213,0.028794688398475786,0.02795233796332719,0.040358915593109015,0.029714360293472214,0.03342460695427412,0.02762287164291247,0.0365425381323159,0.015512652935595918,0.02038414760274218,0.015007883567778959,0.01688182429351246,0.01845660320950611
ICAM1_ITGAL	23	Bcell--Tcell,Tcell--Bcell,Tcell--Tcell,Tcell--endothelial,Tcell--macrophage,Tcell--stroma,basal_like_1--Tcell,basal_like_2--Tcell,endothelial--Bcell,endothelial--Tcell,endothelial--endothelial,endothelial--macrophage,endothelial--stroma,macrophage--Bcell,macrophage--Tcell,macrophage--basal_like_2,macrophage--endothelial,macrophage--macrophage,macrophage--stroma,mesenchymal--Tcell,mesenchymal--macrophage,stroma--Tcell,stroma--macrophage	0.021398965967434833,0.021685113712704932,0.04232050813441385,0.02022024188605956,0.023972834136846,0.01818115653972276,0.01820913658559868,0.02316408895842503,0.02154556558461438,0.042048167035896186,0.02009012050684426,0.02381856406138579,0.01806415709045756,0.02296793301523679,0.044824048832749014,0.015500129672367368,0.021416404236737168,0.02539098738125916,0.019256693373908,0.02654506172488539,0.01503669001000359,0.02851795597830877,0.01615425378207928
ICAM1_ITGAX	26	Bcell--macrophage,Tcell--Bcell,Tcell--Tcell,Tcell--basal_like_2,Tcell--endothelial,Tcell--macrophage,Tcell--stroma,basal_like_1--macrophage,basal_like_2--Tcell,basal_like_2--macrophage,endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_2,endothelial--endothelial,endothelial--macrophage,endothelial--stroma,macrophage--Bcell,macrophage--Tcell,macrophage--basal_like_2,macrophage--endothelial,macrophage--macrophage,macrophage--stroma,mesenchymal--Tcell,mesenchymal--macrophage,stroma--Tcell,stroma--macrophage	0.01925232562039366,0.01791912159527308,0.02891588191955002,0.01833014306047274,0.01655846169306431,0.03807512027750206,0.01672959949641271,0.01638248443152194,0.01582707983959909,0.02084038004481313,0.01780380839430137,0.0287298023237766,0.01821218485256985,0.01645190461598648,0.037830099115430164,0.016621941112677268,0.018979157312464818,0.030626449453000318,0.01941449344238327,0.017538005289723067,0.04032751793080951,0.017719267037102242,0.01813716101768124,0.02388219004220436,0.01948515941813899,0.025657173124999717
ICAM1_ITGB2	26	Bcell--Tcell,Bcell--macrophage,Tcell--Bcell,Tcell--Tcell,Tcell--basal_like_2,Tcell--endothelial,Tcell--macrophage,Tcell--stroma,basal_like_2--Tcell,basal_like_2--macrophage,endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_2,endothelial--endothelial,endothelial--macrophage,endothelial--stroma,macrophage--Bcell,macrophage--Tcell,macrophage--basal_like_2,macrophage--endothelial,macrophage--macrophage,macrophage--stroma,mesenchymal--Tcell,mesenchymal--macrophage,stroma--Tcell,stroma--macrophage	0.01738071671400559,0.0170853135428441,0.01970447747332997,0.03437365918504662,0.01553716771425135,0.01615559688492666,0.03378944346513304,0.01796726808147382,0.018814388916600183,0.0184946190106244,0.01957767514326911,0.034152457679790714,0.01543718287215746,0.01605163232502876,0.033572001507149736,0.017851645048046892,0.020870128914405067,0.0364070906941189,0.016456294951238768,0.01711130833760699,0.03578831471262325,0.019030151984875968,0.02156049029182749,0.02119404756631721,0.023162918940839067,0.02276924129100046
ICAM2_ITGB2	27	Bcell--Bcell,Bcell--Tcell,Bcell--basal_like_2,Bcell--endothelial,Bcell--macrophage,Bcell--stroma,Tcell--Bcell,Tcell--Tcell,Tcell--endothelial,Tcell--macrophage,Tcell--stroma,basal_like_2--Tcell,basal_like_2--macrophage,endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_2,endothelial--endothelial,endothelial--macrophage,endothelial--stroma,macrophage--Tcell,macrophage--macrophage,stroma--Bcell,stroma--Tcell,stroma--basal_like_2,stroma--endothelial,stroma--macrophage,stroma--stroma	0.02022913419172866,0.03528890148222456,0.01595086452185269,0.01658576015400548,0.034689130277378084,0.01844566939523484,0.01855424786512563,0.03236713043590928,0.015212529711467832,0.03181701773748066,0.01691844637311702,0.0218174969308864,0.02144668611299898,0.02568477150342734,0.0448060387848187,0.020252686380093768,0.021058808336961117,0.04404451403517736,0.023420320373280592,0.01540919428435756,0.01514729916624803,0.022859558014751268,0.03987756881061155,0.01802497869987041,0.01874243073706354,0.03919980848123614,0.02084418668959654
ICAM3_ITGAL	24	Bcell--Tcell,Bcell--macrophage,Tcell--Bcell,Tcell--Tcell,Tcell--basal_like_2,Tcell--endothelial,Tcell--macrophage,Tcell--stroma,basal_like_1--Tcell,basal_like_2--Bcell,basal_like_2--Tcell,basal_like_2--endothelial,basal_like_2--macrophage,endothelial--Bcell,endothelial--Tcell,endothelial--macrophage,macrophage--Bcell,macrophage--Tcell,macrophage--endothelial,macrophage--macrophage,stroma--Bcell,stroma--Tcell,stroma--endothelial,stroma--macrophage	0.02861576476420436,0.01620965845240966,0.02878499516704585,0.05617658446505207,0.01942582980417486,0.026840512467578882,0.03182173374378991,0.02413381410218777,0.01776933477552626,0.01699079403263505,0.03315910843700109,0.015843032677980068,0.01878327651835335,0.01578120854312064,0.030798490308525613,0.01744608305473432,0.01720075261647532,0.03356886206213869,0.016038808149003658,0.01901538516083932,0.01684734396733617,0.03287915234657917,0.01570927294504333,0.01862469286193863
ICAM3_ITGB2	19	Bcell--Tcell,Bcell--macrophage,Tcell--Bcell,Tcell--Tcell,Tcell--basal_like_2,Tcell--endothelial,Tcell--macrophage,Tcell--stroma,basal_like_2--Bcell,basal_like_2--Tcell,basal_like_2--macrophage,endothelial--Tcell,endothelial--macrophage,macrophage--Bcell,macrophage--Tcell,macrophage--macrophage,stroma--Bcell,stroma--Tcell,stroma--macrophage	0.023242361414946417,0.02284733355848732,0.02615588261852915,0.04562787295579406,0.02062416197071991,0.02144506984904104,0.04485238028847306,0.0238498968343998,0.01543891919155103,0.02693256632631559,0.026474819638924982,0.02501521971137087,0.02459006030329619,0.01562970095273631,0.027265377345871002,0.0268019741926285,0.0153085713124632,0.026705179755049067,0.02625129773649445
IL11_IL6ST	25	Bcell--Bcell,Bcell--Tcell,Bcell--basal_like_1,Bcell--basal_like_2,Bcell--endothelial,Bcell--luminal_ar,Bcell--macrophage,Bcell--mesenchymal,Bcell--stroma,Tcell--Bcell,Tcell--Tcell,Tcell--basal_like_1,Tcell--basal_like_2,Tcell--endothelial,Tcell--luminal_ar,Tcell--macrophage,Tcell--mesenchymal,Tcell--stroma,basal_like_2--basal_like_1,basal_like_2--luminal_ar,mesenchymal--basal_like_1,mesenchymal--luminal_ar,mesenchymal--mesenchymal,stroma--basal_like_1,stroma--luminal_ar	0.02329935009271804,0.02317959708455266,0.034311271935238336,0.02426060076266252,0.0252376187308222,0.03728947239288749,0.02519525712567541,0.028727407706500313,0.02276623120463463,0.0166054400569853,0.01652009212278025,0.02445363356197617,0.01729052313080412,0.017986843553490242,0.02657619616481184,0.01795665244978205,0.02047401514482413,0.016225486379990568,0.0174792135158278,0.01899640010659135,0.01989088117152848,0.02161739925339683,0.01665381143941786,0.017139090842393342,0.01862675496300216
IL16_CD4	19	Bcell--Tcell,Bcell--macrophage,Tcell--Bcell,Tcell--Tcell,Tcell--basal_like_1,Tcell--basal_like_2,Tcell--endothelial,Tcell--macrophage,Tcell--stroma,basal_like_2--Tcell,basal_like_2--macrophage,endothelial--Tcell,endothelial--macrophage,macrophage--Tcell,macrophage--endothelial,macrophage--macrophage,macrophage--stroma,stroma--Tcell,stroma--macrophage	0.02685631620230571,0.0287295431065085,0.026490789974040342,0.062214621390081964,0.01535541802630637,0.0264985060238906,0.03426978156866962,0.06655408856587754,0.034252672230399336,0.02462141097680581,0.02633875333730525,0.024845087617497482,0.02657803141409966,0.029932340602270086,0.01648768008804988,0.0320201200765496,0.016479448541684368,0.02580682109415847,0.02760684575954335
IL1B_IL1R1	28	endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_1,endothelial--basal_like_2,endothelial--endothelial,endothelial--luminal_ar,endothelial--macrophage,endothelial--mesenchymal,endothelial--stroma,macrophage--luminal_ar,mesenchymal--Bcell,mesenchymal--Tcell,mesenchymal--basal_like_1,mesenchymal--basal_like_2,mesenchymal--endothelial,mesenchymal--luminal_ar,mesenchymal--macrophage,mesenchymal--mesenchymal,mesenchymal--stroma,stroma--Bcell,stroma--Tcell,stroma--basal_like_1,stroma--basal_like_2,stroma--endothelial,stroma--luminal_ar,stroma--macrophage,stroma--mesenchymal,stroma--stroma	0.02153958245575791,0.02017805363686968,0.028961607412054998,0.02450585702411769,0.02228645290998316,0.03249641220581777,0.01979390207259761,0.028713338449242117,0.0213149915995456,0.015552952797628541,0.017747581135198767,0.01662574679923788,0.02386297312898095,0.02019164887325139,0.01836296650820084,0.02677548245933821,0.01630922436575359,0.02365841143100358,0.01756252905951259,0.01678369995026964,0.01572279307258054,0.02256696154068195,0.019095028984976992,0.01736566339506647,0.02532129083945766,0.015423461151759318,0.02237350970439985,0.016608698157640458
IL1RN_IL1R1	22	Bcell--basal_like_1,Bcell--luminal_ar,Bcell--mesenchymal,basal_like_1--luminal_ar,macrophage--Bcell,macrophage--Tcell,macrophage--basal_like_1,macrophage--basal_like_2,macrophage--endothelial,macrophage--luminal_ar,macrophage--macrophage,macrophage--mesenchymal,macrophage--stroma,mesenchymal--Bcell,mesenchymal--Tcell,mesenchymal--basal_like_1,mesenchymal--basal_like_2,mesenchymal--endothelial,mesenchymal--luminal_ar,mesenchymal--macrophage,mesenchymal--mesenchymal,mesenchymal--stroma	0.01771923804872324,0.01988189589796886,0.01756734258278443,0.015083430063495131,0.01885079082839386,0.017659222002748817,0.02534632249720182,0.02144678457816069,0.01950442925139608,0.02843987669785967,0.01732302417721682,0.02512904501298035,0.01865423570662565,0.0225239029040278,0.02110015464982355,0.03028510114500015,0.0256257309223589,0.02330490400409136,0.0339814402046332,0.02069844804516364,0.03002548673399812,0.02228904864680862
INHBA_ACVR1B	21	Bcell--Bcell,Bcell--basal_like_1,Bcell--endothelial,Bcell--luminal_ar,Bcell--mesenchymal,Bcell--stroma,basal_like_2--basal_like_1,endothelial--Bcell,endothelial--basal_like_1,endothelial--endothelial,endothelial--luminal_ar,endothelial--mesenchymal,macrophage--basal_like_1,stroma--Bcell,stroma--Tcell,stroma--basal_like_1,stroma--basal_like_2,stroma--endothelial,stroma--luminal_ar,stroma--mesenchymal,stroma--stroma	0.0162234212631097,0.020917469871827382,0.016969900733238768,0.01818953765867041,0.01873435045921296,0.01609592058258438,0.01539901140066603,0.0151013233624233,0.01947070666139284,0.015796172351363918,0.01693145271528912,0.01743858337161305,0.01586070380725916,0.0216692194880505,0.019607261124422633,0.02793894323745305,0.01926539333950079,0.02266627351378378,0.024295312161322632,0.025023005042090058,0.021498920006432432
INHBA_ENG	19	Bcell--basal_like_2,Bcell--endothelial,Bcell--stroma,Tcell--endothelial,basal_like_1--endothelial,basal_like_2--endothelial,basal_like_2--stroma,endothelial--basal_like_2,endothelial--endothelial,endothelial--stroma,macrophage--endothelial,macrophage--stroma,mesenchymal--endothelial,stroma--Bcell,stroma--Tcell,stroma--basal_like_2,stroma--endothelial,stroma--macrophage,stroma--stroma	0.01680699456987006,0.05170022731710947,0.020543831450055908,0.034217214892782934,0.02297257270290741,0.03806064475060925,0.01512394647398792,0.01564453364268065,0.048124365259612834,0.0191229110555038,0.03920177713983752,0.015577391897403819,0.03320720483015816,0.018270750842243833,0.01721711847001155,0.022448683811048267,0.06905470524050299,0.0174030044895054,0.027439883708687367
ITGAV_THY1	25	Bcell--endothelial,Bcell--stroma,Tcell--endothelial,Tcell--stroma,basal_like_2--endothelial,basal_like_2--stroma,endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_2,endothelial--endothelial,endothelial--macrophage,endothelial--stroma,macrophage--Bcell,macrophage--Tcell,macrophage--endothelial,macrophage--macrophage,macrophage--stroma,mesenchymal--endothelial,mesenchymal--stroma,stroma--Bcell,stroma--Tcell,stroma--basal_like_2,stroma--endothelial,stroma--macrophage,stroma--stroma	0.01644917085760241,0.01622236110674425,0.02038760326466307,0.02010648835272718,0.02120397044591045,0.02091159903730428,0.02157247882298063,0.02058286942622015,0.0188815844932463,0.03340017324585693,0.0213342667761996,0.032939634229143464,0.01695130666619894,0.01617368752924705,0.02624531858580666,0.016764123473682998,0.02588343443850396,0.015247375720152069,0.015037136947738191,0.020017282171670658,0.019099015397729558,0.01752037898616097,0.030992298007625388,0.01979624323607892,0.03056496003111075
ITGB2_THY1	20	Bcell--endothelial,Bcell--stroma,Tcell--Bcell,Tcell--Tcell,Tcell--basal_like_2,Tcell--endothelial,Tcell--macrophage,Tcell--stroma,basal_like_2--endothelial,basal_like_2--stroma,endothelial--endothelial,endothelial--stroma,macrophage--Bcell,macrophage--Tcell,macrophage--basal_like_2,macrophage--endothelial,macrophage--macrophage,macrophage--stroma,stroma--endothelial,stroma--stroma	0.02311863760230659,0.02279986576388679,0.02604800178804674,0.02485308359863473,0.02279884248245517,0.04032952260925872,0.025760369204355132,0.03977343810783189,0.01822926541636084,0.01797791079288441,0.01895484872091122,0.01869348937622687,0.02560528918549862,0.024430679860688632,0.022411352686784004,0.039644080859862735,0.025322545213637568,0.039097447586935764,0.02108042499687186,0.020789757097382268
JAG1_CD46	21	Bcell--basal_like_1,Bcell--luminal_ar,Bcell--mesenchymal,endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_1,endothelial--basal_like_2,endothelial--endothelial,endothelial--luminal_ar,endothelial--macrophage,endothelial--mesenchymal,endothelial--stroma,stroma--Bcell,stroma--Tcell,stroma--basal_like_1,stroma--basal_like_2,stroma--endothelial,stroma--luminal_ar,stroma--macrophage,stroma--mesenchymal,stroma--stroma	0.01641762454556062,0.01768165199047048,0.015475249333352719,0.01985004189243213,0.02144465202202801,0.03180626202975775,0.02807469309295553,0.01976376211425525,0.03425509304145728,0.02435067852359169,0.029980575685996283,0.02530127536523434,0.018624308006898682,0.02012045145916196,0.029842235285970686,0.0263410895652417,0.01854335597806966,0.032139851747733685,0.02284703173212182,0.02812928450357633,0.02373892951576768
JAG1_NOTCH2	24	Bcell--Tcell,Bcell--macrophage,Bcell--stroma,Tcell--macrophage,basal_like_2--macrophage,endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_1,endothelial--basal_like_2,endothelial--endothelial,endothelial--luminal_ar,endothelial--macrophage,endothelial--mesenchymal,endothelial--stroma,mesenchymal--macrophage,stroma--Bcell,stroma--Tcell,stroma--basal_like_1,stroma--basal_like_2,stroma--endothelial,stroma--luminal_ar,stroma--macrophage,stroma--mesenchymal,stroma--stroma	0.01696736674774077,0.02279922181662745,0.01645496839549928,0.015420114049522041,0.01864855913061806,0.02243827876158526,0.032871290924945014,0.02297773649216393,0.02361786856157886,0.02120219122085468,0.01958095473644472,0.044169485126294185,0.01609061876830449,0.03187860917553715,0.016158533359713567,0.021052722057969108,0.03084149897960435,0.02155886844221579,0.02215947255632712,0.01989296253671424,0.01837183689872834,0.041442033218673485,0.015097028086209718,0.02991011501810008
JAG1_NOTCH3	25	Bcell--endothelial,Bcell--stroma,Tcell--endothelial,basal_like_2--endothelial,basal_like_2--stroma,endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_1,endothelial--basal_like_2,endothelial--endothelial,endothelial--luminal_ar,endothelial--macrophage,endothelial--mesenchymal,endothelial--stroma,mesenchymal--endothelial,mesenchymal--stroma,stroma--Bcell,stroma--Tcell,stroma--basal_like_1,stroma--basal_like_2,stroma--endothelial,stroma--luminal_ar,stroma--macrophage,stroma--mesenchymal,stroma--stroma	0.022518313480556083,0.02159861346271819,0.01523012341674865,0.018418790950035242,0.017666524916438768,0.0276425170536214,0.02117669325327887,0.0171674800852596,0.02677588334602508,0.04362527459701605,0.01799968750400524,0.01856527587854347,0.02003070459295668,0.041843517457001864,0.0159594446909889,0.015307624048219209,0.02593560026132093,0.01986903906067045,0.01610739355326361,0.02512248091442484,0.04093142751956221,0.01688821242389048,0.01741887589299566,0.01879381484210642,0.0392596933263076
JAG2_NOTCH1	20	Tcell--endothelial,basal_like_1--endothelial,basal_like_2--Tcell,basal_like_2--endothelial,basal_like_2--macrophage,basal_like_2--stroma,endothelial--Bcell,endothelial--Tcell,endothelial--endothelial,endothelial--macrophage,endothelial--stroma,luminal_ar--endothelial,macrophage--endothelial,mesenchymal--Tcell,mesenchymal--endothelial,stroma--Bcell,stroma--Tcell,stroma--endothelial,stroma--macrophage,stroma--stroma	0.01702669527253588,0.016301150051299267,0.02002926768643595,0.02287875190500688,0.01600543935609144,0.01546688427031889,0.01814355920010369,0.02441240610008898,0.02788546198054221,0.01950801654300415,0.01885160585106201,0.01712367533487996,0.01540331949082464,0.0182713176358186,0.02087070529545931,0.0183028637520427,0.02462675254516274,0.02813030264148579,0.019679301338910358,0.019017127212682
JAG2_NOTCH3	21	Tcell--endothelial,Tcell--stroma,basal_like_1--endothelial,basal_like_1--stroma,basal_like_2--Bcell,basal_like_2--endothelial,basal_like_2--stroma,endothelial--Bcell,endothelial--basal_like_2,endothelial--endothelial,endothelial--stroma,luminal_ar--endothelial,luminal_ar--stroma,macrophage--endothelial,macrophage--stroma,mesenchymal--endothelial,mesenchymal--stroma,stroma--Bcell,stroma--basal_like_2,stroma--endothelial,stroma--stroma	0.0179054591820537,0.0171741588054358,0.017142467883058583,0.016442329836244017,0.015244979364154409,0.02405954601373575,0.02307689849365788,0.018581140012285582,0.017998593848744242,0.02932465715003925,0.028126970310513318,0.01800744447749595,0.017271978785472958,0.01619829943488592,0.0155367234117938,0.02194786221206985,0.02105146074375501,0.01874428662269023,0.01815662557212241,0.02958213426996537,0.0283739314691978
L1CAM_ALCAM	22	Bcell--basal_like_1,Bcell--basal_like_2,Bcell--luminal_ar,Bcell--mesenchymal,basal_like_1--luminal_ar,basal_like_1--mesenchymal,luminal_ar--basal_like_1,luminal_ar--basal_like_2,luminal_ar--luminal_ar,luminal_ar--mesenchymal,mesenchymal--Bcell,mesenchymal--Tcell,mesenchymal--basal_like_1,mesenchymal--basal_like_2,mesenchymal--endothelial,mesenchymal--luminal_ar,mesenchymal--macrophage,mesenchymal--mesenchymal,mesenchymal--stroma,stroma--basal_like_1,stroma--luminal_ar,stroma--mesenchymal	0.01918188422435565,0.015494604348603619,0.023283195447109183,0.02335620651674124,0.01814583149946025,0.01820273290589083,0.01940320343517222,0.01567337998744278,0.02355183529402783,0.02362568876016916,0.02764853021499416,0.021932594475960042,0.036486008391674915,0.02947240519630572,0.022073209221301283,0.04428714377233027,0.0258556775567105,0.044426018685145036,0.02386734900674603,0.01523295861912072,0.01848994335584506,0.018547923822697782
L1CAM_CD9	21	Bcell--basal_like_1,Bcell--basal_like_2,Bcell--luminal_ar,Bcell--mesenchymal,basal_like_1--basal_like_1,basal_like_1--luminal_ar,luminal_ar--basal_like_1,luminal_ar--basal_like_2,luminal_ar--luminal_ar,luminal_ar--mesenchymal,mesenchymal--Bcell,mesenchymal--Tcell,mesenchymal--basal_like_1,mesenchymal--basal_like_2,mesenchymal--endothelial,mesenchymal--luminal_ar,mesenchymal--macrophage,mesenchymal--mesenchymal,mesenchymal--stroma,stroma--basal_like_1,stroma--luminal_ar	0.02410317687684664,0.015552884681301891,0.02347740099623522,0.01846822678379597,0.018784886602120132,0.01829718620413154,0.024381277610964442,0.01573233275445918,0.02374828157291566,0.018681311866010217,0.02292694198954285,0.020883386037901342,0.045846836708461715,0.02958326066196423,0.02422817701096357,0.04465654362962507,0.0252230302731071,0.035128555126891864,0.027572205082710282,0.01914111729900642,0.01864416830365724
L1CAM_ERBB2	22	Bcell--basal_like_1,Bcell--basal_like_2,Bcell--luminal_ar,Bcell--mesenchymal,basal_like_1--basal_like_1,basal_like_1--luminal_ar,luminal_ar--basal_like_1,luminal_ar--basal_like_2,luminal_ar--luminal_ar,luminal_ar--macrophage,luminal_ar--mesenchymal,mesenchymal--Bcell,mesenchymal--Tcell,mesenchymal--basal_like_1,mesenchymal--basal_like_2,mesenchymal--endothelial,mesenchymal--luminal_ar,mesenchymal--macrophage,mesenchymal--mesenchymal,mesenchymal--stroma,stroma--basal_like_1,stroma--luminal_ar	0.023208996572325568,0.018256121702298917,0.02168964790665696,0.01769514380557901,0.01808800437335415,0.01690389521880185,0.0234767803179239,0.01846675953122471,0.02193990151581468,0.015055567584829468,0.01789930911157975,0.02328014196680919,0.02379408536950984,0.04414600952627062,0.03472510843245338,0.01991583593775639,0.04125604483265216,0.02831066360133956,0.033658068093356835,0.02696297876102001,0.01843101961425929,0.0172244553851436
L1CAM_ERBB3	21	Bcell--basal_like_1,Bcell--basal_like_2,Bcell--luminal_ar,Bcell--mesenchymal,basal_like_1--basal_like_1,basal_like_1--luminal_ar,luminal_ar--basal_like_1,luminal_ar--basal_like_2,luminal_ar--luminal_ar,luminal_ar--mesenchymal,mesenchymal--Bcell,mesenchymal--Tcell,mesenchymal--basal_like_1,mesenchymal--basal_like_2,mesenchymal--endothelial,mesenchymal--luminal_ar,mesenchymal--macrophage,mesenchymal--mesenchymal,mesenchymal--stroma,stroma--basal_like_1,stroma--luminal_ar	0.0231740305666276,0.017103612602551308,0.02144716890533515,0.01842805724720975,0.01806075350699236,0.01671491844754474,0.02344141087694836,0.017300952863759992,0.021694624809085808,0.01864067885617851,0.02742782214695945,0.020539042523075,0.0440795004199494,0.032532912077129716,0.02571333785929957,0.04079482367348161,0.023324892597072308,0.03505214834475137,0.026584456879449558,0.01840325197101616,0.01703189491767654
LAMA2_ITGB1	27	Tcell--Bcell,Tcell--Tcell,Tcell--basal_like_1,Tcell--basal_like_2,Tcell--endothelial,Tcell--luminal_ar,Tcell--macrophage,Tcell--mesenchymal,Tcell--stroma,endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_1,endothelial--basal_like_2,endothelial--endothelial,endothelial--luminal_ar,endothelial--macrophage,endothelial--mesenchymal,endothelial--stroma,stroma--Bcell,stroma--Tcell,stroma--basal_like_1,stroma--basal_like_2,stroma--endothelial,stroma--luminal_ar,stroma--macrophage,stroma--mesenchymal,stroma--stroma	0.0223715361931725,0.02406963312527616,0.02256570178901893,0.02190557209918281,0.03162830731832098,0.02328642643930998,0.02619405712982966,0.021647377301825758,0.02863750448333877,0.02276067096555371,0.0244883049199454,0.02295821391485014,0.02228660180313747,0.0321784561352303,0.023691474987330482,0.02664968156129214,0.02202391591617299,0.02913563070464363,0.026568873292140992,0.02858556637201113,0.02679946814576178,0.0260154852339853,0.03756239546222235,0.027655414815975218,0.03110857380915756,0.02570884805018015,0.03401045960595026
LAMA5_BCAM	16	Bcell--endothelial,Bcell--luminal_ar,basal_like_1--luminal_ar,basal_like_2--basal_like_1,basal_like_2--basal_like_2,basal_like_2--endothelial,basal_like_2--luminal_ar,endothelial--Bcell,endothelial--basal_like_1,endothelial--basal_like_2,endothelial--endothelial,endothelial--luminal_ar,endothelial--mesenchymal,endothelial--stroma,luminal_ar--endothelial,luminal_ar--luminal_ar	0.015277870757441359,0.015658880546822632,0.01517633201560819,0.01562981479439216,0.0166581462132278,0.01769715545910954,0.01813849899324298,0.01783755582417605,0.01865498242762293,0.01988234850972355,0.02112245912389513,0.02164922517852286,0.016139798194041998,0.016110163111923908,0.01587056965909069,0.016266360571265133
LAMB1_ITGB1	20	endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_1,endothelial--basal_like_2,endothelial--endothelial,endothelial--luminal_ar,endothelial--macrophage,endothelial--mesenchymal,endothelial--stroma,macrophage--endothelial,macrophage--stroma,stroma--Bcell,stroma--Tcell,stroma--basal_like_1,stroma--basal_like_2,stroma--endothelial,stroma--luminal_ar,stroma--macrophage,stroma--mesenchymal,stroma--stroma	0.027139847947071208,0.029199880487471637,0.02737539836713725,0.02657456738026174,0.03836962486753322,0.028249739639533863,0.03177710826301823,0.02626134045295159,0.03474135663060013,0.017100423179543318,0.01548339089229385,0.017846903199646567,0.019201560801573783,0.018001798892273633,0.01747518013118411,0.02523149658587217,0.01857675731069771,0.020896321019955318,0.017269205113854283,0.02284558226044262
LAMC2_ITGB1	13	Bcell--endothelial,Bcell--macrophage,Bcell--stroma,basal_like_2--endothelial,mesenchymal--Bcell,mesenchymal--Tcell,mesenchymal--basal_like_1,mesenchymal--basal_like_2,mesenchymal--endothelial,mesenchymal--luminal_ar,mesenchymal--macrophage,mesenchymal--mesenchymal,mesenchymal--stroma	0.018328280635751718,0.01517918822631186,0.01659514097911246,0.01550214925166092,0.03704320282074742,0.0398549430840022,0.037364705800500116,0.036271650867774514,0.052370735418118285,0.03855809498790834,0.04337260358788644,0.03584412715357031,0.04741850884518746
